region,year,infant_mortality,region_standard
        Республика Адыгея (Адыгея),1991,59.0,Республика Адыгея
        Республика Калмыкия,1991,63.0,Республика Калмыкия
        Краснодарский край,1991,563.0,Краснодарский край
        Астраханская область,1991,162.0,Астраханская область
        Волгоградская область,1991,342.0,Волгоградская область
        Ростовская область,1991,658.0,Ростовская область
        Республика Дагестан,1991,370.0,Республика Дагестан
        Республика Ингушетия,1991,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1991,130.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1991,38.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1991,117.0,Республика Северная Осетия - Алания
        Чеченская Республика,1991,326.0,Чеченская Республика
        Ставропольский край,1991,333.0,Ставропольский край
        Республика Башкортостан,1991,652.0,Республика Башкортостан
        Республика Марий Эл,1991,102.0,Республика Марий Эл
        Республика Мордовия,1991,119.0,Республика Мордовия
        Республика Татарстан (Татарстан),1991,642.0,Республика Татарстан
        Удмуртская Республика,1991,253.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1991,174.0,Чувашская Республика
        Пермский край,1991,447.0,Пермский край
        Кировская область,1991,174.0,Кировская область
        Нижегородская область,1991,457.0,Нижегородская область
        Оренбургская область,1991,324.0,Оренбургская область
        Пензенская область,1991,188.0,Пензенская область
        Самарская область,1991,446.0,Самарская область
        Саратовская область,1991,441.0,Саратовская область
        Ульяновская область,1991,214.0,Ульяновская область
        Курганская область,1991,133.0,Курганская область
        Свердловская область,1991,716.0,Свердловская область
        Тюменская область,1991,584.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1991,315.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1991,84.0,Ямало-Ненецкий автономный округ
        Челябинская область,1991,519.0,Челябинская область
        Республика Алтай,1991,25.0,Республика Алтай
        Республика Тыва,1991,103.0,Республика Тыва
        Республика Хакасия,1991,87.0,Республика Хакасия
        Алтайский край,1991,322.0,Алтайский край
        Красноярский край,1991,537.0,Красноярский край
        Иркутская область,1991,577.0,Иркутская область
        Кемеровская область - Кузбасс,1991,628.0,Кемеровская область
        Новосибирская область,1991,392.0,Новосибирская область
        Омская область,1991,317.0,Омская область
        Томская область,1991,136.0,Томская область
        Республика Бурятия,1991,217.0,Республика Бурятия
        Забайкальский край,1991,273.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1991,14.0,Забайкальский край
        Республика Саха (Якутия),1991,227.0,Республика Саха (Якутия)
        Камчатский край,1991,48.0,Камчатский край
        Приморский край,1991,445.0,Приморский край
        Хабаровский край,1991,278.0,Хабаровский край
        Амурская область,1991,169.0,Амурская область
        Магаданская область,1991,71.0,Магаданская область
        Сахалинская область,1991,93.0,Сахалинская область
        Еврейская автономная область,1991,50.0,Еврейская автономная область
        Чукотский автономный округ,1991,19.0,Чукотский автономный округ
        Белгородская область,1992,165.0,Белгородская область
        Брянская область,1992,200.0,Брянская область
        Владимирская область,1992,179.0,Владимирская область
        Воронежская область,1992,262.0,Воронежская область
        Ивановская область,1992,174.0,Ивановская область
        Калужская область,1992,104.0,Калужская область
        Костромская область,1992,106.0,Костромская область
        Курская область,1992,161.0,Курская область
        Липецкая область,1992,121.0,Липецкая область
        Московская область,1992,673.0,Московская область
        Орловская область,1992,60.0,Орловская область
        Рязанская область,1992,120.0,Рязанская область
        Смоленская область,1992,111.0,Смоленская область
        Тамбовская область,1992,127.0,Тамбовская область
        Тверская область,1992,171.0,Тверская область
        Тульская область,1992,188.0,Тульская область
        Ярославская область,1992,132.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1992,1121.0,Москва
        Республика Карелия,1992,99.0,Республика Карелия
        Республика Коми,1992,166.0,Республика Коми
        Архангельская область,1992,174.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1992,11.0,Ненецкий автономный округ
        Вологодская область,1992,186.0,Вологодская область
        Калининградская область,1992,103.0,Калининградская область
        Ленинградская область,1992,134.0,Ленинградская область
        Мурманская область,1992,162.0,Мурманская область
        Новгородская область,1992,80.0,Новгородская область
        Псковская область,1992,77.0,Псковская область
        Город Санкт-Петербург город федерального значения,1992,583.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1992,54.0,Республика Адыгея
        Республика Калмыкия,1992,38.0,Республика Калмыкия
        Краснодарский край,1992,509.0,Краснодарский край
        Астраханская область,1992,133.0,Астраханская область
        Волгоградская область,1992,348.0,Волгоградская область
        Ростовская область,1992,554.0,Ростовская область
        Республика Дагестан,1992,327.0,Республика Дагестан
        Республика Ингушетия,1992,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1992,125.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1992,55.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1992,101.0,Республика Северная Осетия - Алания
        Чеченская Республика,1992,393.0,Чеченская Республика
        Ставропольский край,1992,315.0,Ставропольский край
        Республика Башкортостан,1992,558.0,Республика Башкортостан
        Республика Марий Эл,1992,93.0,Республика Марий Эл
        Республика Мордовия,1992,117.0,Республика Мордовия
        Республика Татарстан (Татарстан),1992,514.0,Республика Татарстан
        Удмуртская Республика,1992,263.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1992,145.0,Чувашская Республика
        Пермский край,1992,438.0,Пермский край
        Кировская область,1992,170.0,Кировская область
        Нижегородская область,1992,424.0,Нижегородская область
        Оренбургская область,1992,275.0,Оренбургская область
        Пензенская область,1992,145.0,Пензенская область
        Самарская область,1992,383.0,Самарская область
        Саратовская область,1992,391.0,Саратовская область
        Ульяновская область,1992,241.0,Ульяновская область
        Курганская область,1992,95.0,Курганская область
        Свердловская область,1992,625.0,Свердловская область
        Тюменская область,1992,514.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1992,279.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1992,82.0,Ямало-Ненецкий автономный округ
        Челябинская область,1992,453.0,Челябинская область
        Республика Алтай,1992,34.0,Республика Алтай
        Республика Тыва,1992,71.0,Республика Тыва
        Республика Хакасия,1992,90.0,Республика Хакасия
        Алтайский край,1992,299.0,Алтайский край
        Красноярский край,1992,479.0,Красноярский край
        Иркутская область,1992,488.0,Иркутская область
        Кемеровская область - Кузбасс,1992,508.0,Кемеровская область
        Новосибирская область,1992,366.0,Новосибирская область
        Омская область,1992,279.0,Омская область
        Томская область,1992,132.0,Томская область
        Республика Бурятия,1992,123.0,Республика Бурятия
        Забайкальский край,1992,247.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1992,15.0,Забайкальский край
        Республика Саха (Якутия),1992,204.0,Республика Саха (Якутия)
        Камчатский край,1992,53.0,Камчатский край
        Приморский край,1992,381.0,Приморский край
        Хабаровский край,1992,224.0,Хабаровский край
        Амурская область,1992,174.0,Амурская область
        Магаданская область,1992,44.0,Магаданская область
        Сахалинская область,1992,101.0,Сахалинская область
        Еврейская автономная область,1992,46.0,Еврейская автономная область
        Чукотский автономный округ,1992,19.0,Чукотский автономный округ
        Белгородская область,1993,165.0,Белгородская область
        Брянская область,1993,176.0,Брянская область
        Владимирская область,1993,148.0,Владимирская область
        Воронежская область,1993,213.0,Воронежская область
        Ивановская область,1993,168.0,Ивановская область
        Калужская область,1993,97.0,Калужская область
        Костромская область,1993,78.0,Костромская область
        Курская область,1993,125.0,Курская область
        Липецкая область,1993,135.0,Липецкая область
        Московская область,1993,588.0,Московская область
        Орловская область,1993,81.0,Орловская область
        Рязанская область,1993,139.0,Рязанская область
        Смоленская область,1993,108.0,Смоленская область
        Тамбовская область,1993,105.0,Тамбовская область
        Тверская область,1993,195.0,Тверская область
        Тульская область,1993,223.0,Тульская область
        Ярославская область,1993,99.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1993,1056.0,Москва
        Республика Карелия,1993,69.0,Республика Карелия
        Республика Коми,1993,172.0,Республика Коми
        Архангельская область,1993,152.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1993,6.0,Ненецкий автономный округ
        Вологодская область,1993,125.0,Вологодская область
        Калининградская область,1993,99.0,Калининградская область
        Ленинградская область,1993,121.0,Ленинградская область
        Мурманская область,1993,107.0,Мурманская область
        Новгородская область,1993,77.0,Новгородская область
        Псковская область,1993,77.0,Псковская область
        Город Санкт-Петербург город федерального значения,1993,618.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1993,44.0,Республика Адыгея
        Республика Калмыкия,1993,29.0,Республика Калмыкия
        Краснодарский край,1993,622.0,Краснодарский край
        Астраханская область,1993,153.0,Астраханская область
        Волгоградская область,1993,318.0,Волгоградская область
        Ростовская область,1993,572.0,Ростовская область
        Республика Дагестан,1993,278.0,Республика Дагестан
        Республика Ингушетия,1993,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1993,139.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1993,37.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1993,102.0,Республика Северная Осетия - Алания
        Чеченская Республика,1993,0.0,Чеченская Республика
        Ставропольский край,1993,318.0,Ставропольский край
        Республика Башкортостан,1993,555.0,Республика Башкортостан
        Республика Марий Эл,1993,81.0,Республика Марий Эл
        Республика Мордовия,1993,101.0,Республика Мордовия
        Республика Татарстан (Татарстан),1993,556.0,Республика Татарстан
        Удмуртская Республика,1993,212.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1993,142.0,Чувашская Республика
        Пермский край,1993,441.0,Пермский край
        Кировская область,1993,155.0,Кировская область
        Нижегородская область,1993,422.0,Нижегородская область
        Оренбургская область,1993,246.0,Оренбургская область
