region,year,infant_mortality,region_standard
        Республика Карелия,1996,28.0,Республика Карелия
        Республика Коми,1996,55.0,Республика Коми
        Архангельская область,1996,71.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1996,11.0,Ненецкий автономный округ
        Вологодская область,1996,68.0,Вологодская область
        Калининградская область,1996,45.0,Калининградская область
        Ленинградская область,1996,48.0,Ленинградская область
        Мурманская область,1996,18.0,Мурманская область
        Новгородская область,1996,36.0,Новгородская область
        Псковская область,1996,54.0,Псковская область
        Город Санкт-Петербург город федерального значения,1996,0.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1996,36.0,Республика Адыгея
        Республика Калмыкия,1996,28.0,Республика Калмыкия
        Краснодарский край,1996,394.0,Краснодарский край
        Астраханская область,1996,57.0,Астраханская область
        Волгоградская область,1996,123.0,Волгоградская область
        Ростовская область,1996,321.0,Ростовская область
        Республика Дагестан,1996,589.0,Республика Дагестан
        Республика Ингушетия,1996,85.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1996,86.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1996,61.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1996,46.0,Республика Северная Осетия - Алания
        Чеченская Республика,1996,0.0,Чеченская Республика
        Ставропольский край,1996,248.0,Ставропольский край
        Республика Башкортостан,1996,330.0,Республика Башкортостан
        Республика Марий Эл,1996,49.0,Республика Марий Эл
        Республика Мордовия,1996,39.0,Республика Мордовия
        Республика Татарстан (Татарстан),1996,217.0,Республика Татарстан
        Удмуртская Республика,1996,79.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1996,81.0,Чувашская Республика
        Пермский край,1996,195.0,Пермский край
        Кировская область,1996,73.0,Кировская область
        Нижегородская область,1996,102.0,Нижегородская область
        Оренбургская область,1996,183.0,Оренбургская область
        Пензенская область,1996,66.0,Пензенская область
        Самарская область,1996,84.0,Самарская область
        Саратовская область,1996,189.0,Саратовская область
        Ульяновская область,1996,83.0,Ульяновская область
        Курганская область,1996,96.0,Курганская область
        Свердловская область,1996,146.0,Свердловская область
        Тюменская область,1996,147.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1996,31.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1996,39.0,Ямало-Ненецкий автономный округ
        Челябинская область,1996,142.0,Челябинская область
        Республика Алтай,1996,62.0,Республика Алтай
        Республика Тыва,1996,109.0,Республика Тыва
        Республика Хакасия,1996,63.0,Республика Хакасия
        Алтайский край,1996,220.0,Алтайский край
        Красноярский край,1996,205.0,Красноярский край
        Иркутская область,1996,154.0,Иркутская область
        Кемеровская область - Кузбасс,1996,99.0,Кемеровская область
        Новосибирская область,1996,142.0,Новосибирская область
        Омская область,1996,144.0,Омская область
        Томская область,1996,87.0,Томская область
        Республика Бурятия,1996,76.0,Республика Бурятия
        Забайкальский край,1996,100.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1996,9.0,Забайкальский край
        Республика Саха (Якутия),1996,150.0,Республика Саха (Якутия)
        Камчатский край,1996,22.0,Камчатский край
        Приморский край,1996,130.0,Приморский край
        Хабаровский край,1996,63.0,Хабаровский край
        Амурская область,1996,100.0,Амурская область
        Магаданская область,1996,6.0,Магаданская область
        Сахалинская область,1996,8.0,Сахалинская область
        Еврейская автономная область,1996,28.0,Еврейская автономная область
        Чукотский автономный округ,1996,17.0,Чукотский автономный округ
        Белгородская область,1997,67.0,Белгородская область
        Брянская область,1997,67.0,Брянская область
        Владимирская область,1997,38.0,Владимирская область
        Воронежская область,1997,132.0,Воронежская область
        Ивановская область,1997,39.0,Ивановская область
        Калужская область,1997,55.0,Калужская область
        Костромская область,1997,52.0,Костромская область
        Курская область,1997,59.0,Курская область
        Липецкая область,1997,76.0,Липецкая область
        Московская область,1997,141.0,Московская область
        Орловская область,1997,51.0,Орловская область
        Рязанская область,1997,56.0,Рязанская область
        Смоленская область,1997,55.0,Смоленская область
        Тамбовская область,1997,90.0,Тамбовская область
        Тверская область,1997,70.0,Тверская область
        Тульская область,1997,65.0,Тульская область
        Ярославская область,1997,44.0,Ярославская область
        Республика Карелия,1997,28.0,Республика Карелия
        Республика Коми,1997,56.0,Республика Коми
        Архангельская область,1997,46.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1997,4.0,Ненецкий автономный округ
        Вологодская область,1997,65.0,Вологодская область
        Калининградская область,1997,56.0,Калининградская область
        Ленинградская область,1997,42.0,Ленинградская область
        Мурманская область,1997,10.0,Мурманская область
        Новгородская область,1997,29.0,Новгородская область
        Псковская область,1997,36.0,Псковская область
        Республика Адыгея (Адыгея),1997,45.0,Республика Адыгея
        Республика Калмыкия,1997,40.0,Республика Калмыкия
        Краснодарский край,1997,381.0,Краснодарский край
        Астраханская область,1997,79.0,Астраханская область
        Волгоградская область,1997,147.0,Волгоградская область
        Ростовская область,1997,292.0,Ростовская область
        Республика Дагестан,1997,593.0,Республика Дагестан
        Республика Ингушетия,1997,53.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1997,82.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1997,72.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1997,43.0,Республика Северная Осетия - Алания
        Ставропольский край,1997,242.0,Ставропольский край
        Республика Башкортостан,1997,294.0,Республика Башкортостан
        Республика Марий Эл,1997,41.0,Республика Марий Эл
        Республика Мордовия,1997,49.0,Республика Мордовия
        Республика Татарстан (Татарстан),1997,205.0,Республика Татарстан
        Удмуртская Республика,1997,68.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1997,86.0,Чувашская Республика
        Пермский край,1997,168.0,Пермский край
        Кировская область,1997,80.0,Кировская область
        Нижегородская область,1997,117.0,Нижегородская область
        Оренбургская область,1997,175.0,Оренбургская область
        Пензенская область,1997,69.0,Пензенская область
        Самарская область,1997,81.0,Самарская область
        Саратовская область,1997,145.0,Саратовская область
        Ульяновская область,1997,68.0,Ульяновская область
        Курганская область,1997,77.0,Курганская область
        Свердловская область,1997,114.0,Свердловская область
        Тюменская область,1997,184.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1997,34.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1997,45.0,Ямало-Ненецкий автономный округ
        Челябинская область,1997,147.0,Челябинская область
        Республика Алтай,1997,48.0,Республика Алтай
        Республика Тыва,1997,106.0,Республика Тыва
        Республика Хакасия,1997,41.0,Республика Хакасия
        Алтайский край,1997,213.0,Алтайский край
        Красноярский край,1997,206.0,Красноярский край
        Иркутская область,1997,167.0,Иркутская область
        Кемеровская область - Кузбасс,1997,85.0,Кемеровская область
        Новосибирская область,1997,134.0,Новосибирская область
        Омская область,1997,139.0,Омская область
        Томская область,1997,90.0,Томская область
        Республика Бурятия,1997,100.0,Республика Бурятия
        Забайкальский край,1997,111.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1997,10.0,Забайкальский край
        Республика Саха (Якутия),1997,120.0,Республика Саха (Якутия)
        Камчатский край,1997,20.0,Камчатский край
        Приморский край,1997,115.0,Приморский край
        Хабаровский край,1997,65.0,Хабаровский край
        Амурская область,1997,118.0,Амурская область
        Магаданская область,1997,8.0,Магаданская область
        Сахалинская область,1997,17.0,Сахалинская область
        Еврейская автономная область,1997,24.0,Еврейская автономная область
        Чукотский автономный округ,1997,12.0,Чукотский автономный округ
        Белгородская область,1998,61.0,Белгородская область
        Брянская область,1998,75.0,Брянская область
        Владимирская область,1998,39.0,Владимирская область
        Воронежская область,1998,125.0,Воронежская область
        Ивановская область,1998,27.0,Ивановская область
        Калужская область,1998,37.0,Калужская область
        Костромская область,1998,65.0,Костромская область
        Курская область,1998,67.0,Курская область
        Липецкая область,1998,54.0,Липецкая область
        Московская область,1998,140.0,Московская область
        Орловская область,1998,43.0,Орловская область
        Рязанская область,1998,47.0,Рязанская область
        Смоленская область,1998,47.0,Смоленская область
        Тамбовская область,1998,68.0,Тамбовская область
        Тверская область,1998,59.0,Тверская область
        Тульская область,1998,55.0,Тульская область
        Ярославская область,1998,31.0,Ярославская область
        Республика Карелия,1998,26.0,Республика Карелия
        Республика Коми,1998,52.0,Республика Коми
        Архангельская область,1998,56.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1998,7.0,Ненецкий автономный округ
        Вологодская область,1998,59.0,Вологодская область
        Калининградская область,1998,36.0,Калининградская область
        Ленинградская область,1998,35.0,Ленинградская область
        Мурманская область,1998,8.0,Мурманская область
        Новгородская область,1998,38.0,Новгородская область
        Псковская область,1998,51.0,Псковская область
        Республика Адыгея (Адыгея),1998,31.0,Республика Адыгея
        Республика Калмыкия,1998,33.0,Республика Калмыкия
        Краснодарский край,1998,338.0,Краснодарский край
        Астраханская область,1998,92.0,Астраханская область
        Волгоградская область,1998,120.0,Волгоградская область
        Ростовская область,1998,279.0,Ростовская область
        Республика Дагестан,1998,604.0,Республика Дагестан
        Республика Ингушетия,1998,61.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1998,87.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1998,66.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1998,43.0,Республика Северная Осетия - Алания
        Ставропольский край,1998,190.0,Ставропольский край
        Республика Башкортостан,1998,294.0,Республика Башкортостан
        Республика Марий Эл,1998,44.0,Республика Марий Эл
        Республика Мордовия,1998,44.0,Республика Мордовия
        Республика Татарстан (Татарстан),1998,166.0,Республика Татарстан
        Удмуртская Республика,1998,80.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1998,87.0,Чувашская Республика
        Пермский край,1998,153.0,Пермский край
        Кировская область,1998,74.0,Кировская область
        Нижегородская область,1998,110.0,Нижегородская область
        Оренбургская область,1998,164.0,Оренбургская область
        Пензенская область,1998,63.0,Пензенская область
        Самарская область,1998,75.0,Самарская область
        Саратовская область,1998,141.0,Саратовская область
        Ульяновская область,1998,52.0,Ульяновская область
        Курганская область,1998,83.0,Курганская область
        Свердловская область,1998,100.0,Свердловская область
        Тюменская область,1998,172.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1998,33.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1998,41.0,Ямало-Ненецкий автономный округ
        Челябинская область,1998,146.0,Челябинская область
        Республика Алтай,1998,53.0,Республика Алтай
        Республика Тыва,1998,83.0,Республика Тыва
        Республика Хакасия,1998,56.0,Республика Хакасия
        Алтайский край,1998,176.0,Алтайский край
        Красноярский край,1998,247.0,Красноярский край
        Иркутская область,1998,160.0,Иркутская область
        Кемеровская область - Кузбасс,1998,75.0,Кемеровская область
        Новосибирская область,1998,125.0,Новосибирская область
        Омская область,1998,105.0,Омская область
        Томская область,1998,73.0,Томская область
        Республика Бурятия,1998,98.0,Республика Бурятия
        Забайкальский край,1998,100.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1998,10.0,Забайкальский край
        Республика Саха (Якутия),1998,125.0,Республика Саха (Якутия)
        Камчатский край,1998,22.0,Камчатский край
        Приморский край,1998,110.0,Приморский край
        Хабаровский край,1998,76.0,Хабаровский край
        Амурская область,1998,86.0,Амурская область
        Магаданская область,1998,3.0,Магаданская область
        Сахалинская область,1998,12.0,Сахалинская область
        Еврейская автономная область,1998,23.0,Еврейская автономная область
        Чукотский автономный округ,1998,13.0,Чукотский автономный округ
        Белгородская область,1999,66.0,Белгородская область
        Брянская область,1999,67.0,Брянская область
        Владимирская область,1999,40.0,Владимирская область
        Воронежская область,1999,89.0,Воронежская область
        Ивановская область,1999,27.0,Ивановская область
        Калужская область,1999,36.0,Калужская область
        Костромская область,1999,41.0,Костромская область
        Курская область,1999,73.0,Курская область
        Липецкая область,1999,47.0,Липецкая область
        Московская область,1999,154.0,Московская область
        Орловская область,1999,42.0,Орловская область
        Рязанская область,1999,55.0,Рязанская область
        Смоленская область,1999,36.0,Смоленская область
        Тамбовская область,1999,70.0,Тамбовская область
        Тверская область,1999,61.0,Тверская область
        Тульская область,1999,53.0,Тульская область
        Ярославская область,1999,37.0,Ярославская область
        Республика Карелия,1999,28.0,Республика Карелия
        Республика Коми,1999,48.0,Республика Коми
        Архангельская область,1999,58.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1999,7.0,Ненецкий автономный округ
        Вологодская область,1999,52.0,Вологодская область
        Калининградская область,1999,43.0,Калининградская область
        Ленинградская область,1999,44.0,Ленинградская область
        Мурманская область,1999,5.0,Мурманская область
        Новгородская область,1999,24.0,Новгородская область
        Псковская область,1999,53.0,Псковская область
        Республика Адыгея (Адыгея),1999,25.0,Республика Адыгея
        Республика Калмыкия,1999,29.0,Республика Калмыкия
        Краснодарский край,1999,311.0,Краснодарский край
        Астраханская область,1999,56.0,Астраханская область
        Волгоградская область,1999,162.0,Волгоградская область
        Ростовская область,1999,280.0,Ростовская область
        Республика Дагестан,1999,616.0,Республика Дагестан
        Республика Ингушетия,1999,54.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1999,89.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1999,67.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1999,31.0,Республика Северная Осетия - Алания
        Ставропольский край,1999,184.0,Ставропольский край
        Республика Башкортостан,1999,249.0,Республика Башкортостан
        Республика Марий Эл,1999,41.0,Республика Марий Эл
        Республика Мордовия,1999,48.0,Республика Мордовия
        Республика Татарстан (Татарстан),1999,155.0,Республика Татарстан
        Удмуртская Республика,1999,89.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1999,77.0,Чувашская Республика
        Пермский край,1999,185.0,Пермский край
        Кировская область,1999,61.0,Кировская область
        Нижегородская область,1999,87.0,Нижегородская область
        Оренбургская область,1999,146.0,Оренбургская область
        Пензенская область,1999,65.0,Пензенская область
        Самарская область,1999,59.0,Самарская область
        Саратовская область,1999,114.0,Саратовская область
        Ульяновская область,1999,62.0,Ульяновская область
        Курганская область,1999,89.0,Курганская область
        Свердловская область,1999,124.0,Свердловская область
        Тюменская область,1999,138.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1999,20.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1999,33.0,Ямало-Ненецкий автономный округ
        Челябинская область,1999,132.0,Челябинская область
        Республика Алтай,1999,53.0,Республика Алтай
        Республика Тыва,1999,102.0,Республика Тыва
        Республика Хакасия,1999,54.0,Республика Хакасия
        Алтайский край,1999,196.0,Алтайский край
        Красноярский край,1999,248.0,Красноярский край
        Иркутская область,1999,181.0,Иркутская область
        Кемеровская область - Кузбасс,1999,101.0,Кемеровская область
        Новосибирская область,1999,124.0,Новосибирская область
        Омская область,1999,92.0,Омская область
        Томская область,1999,108.0,Томская область
        Республика Бурятия,1999,120.0,Республика Бурятия
        Забайкальский край,1999,105.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1999,7.0,Забайкальский край
        Республика Саха (Якутия),1999,113.0,Республика Саха (Якутия)
        Камчатский край,1999,14.0,Камчатский край
        Приморский край,1999,105.0,Приморский край
        Хабаровский край,1999,63.0,Хабаровский край
        Амурская область,1999,91.0,Амурская область
        Магаданская область,1999,1.0,Магаданская область
        Сахалинская область,1999,3.0,Сахалинская область
        Еврейская автономная область,1999,14.0,Еврейская автономная область
        Чукотский автономный округ,1999,12.0,Чукотский автономный округ
        Белгородская область,2000,64.0,Белгородская область
        Брянская область,2000,72.0,Брянская область
        Владимирская область,2000,37.0,Владимирская область
        Воронежская область,2000,79.0,Воронежская область
        Ивановская область,2000,28.0,Ивановская область
        Калужская область,2000,40.0,Калужская область
        Костромская область,2000,22.0,Костромская область
        Курская область,2000,60.0,Курская область
        Липецкая область,2000,49.0,Липецкая область
        Московская область,2000,110.0,Московская область
        Орловская область,2000,38.0,Орловская область
        Рязанская область,2000,41.0,Рязанская область
        Смоленская область,2000,36.0,Смоленская область
        Тамбовская область,2000,57.0,Тамбовская область
        Тверская область,2000,51.0,Тверская область
        Тульская область,2000,47.0,Тульская область
        Ярославская область,2000,27.0,Ярославская область
        Республика Карелия,2000,21.0,Республика Карелия
        Республика Коми,2000,24.0,Республика Коми
        Архангельская область,2000,46.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2000,5.0,Ненецкий автономный округ
        Вологодская область,2000,63.0,Вологодская область
        Калининградская область,2000,43.0,Калининградская область
        Ленинградская область,2000,43.0,Ленинградская область
        Мурманская область,2000,9.0,Мурманская область
        Новгородская область,2000,23.0,Новгородская область
        Псковская область,2000,32.0,Псковская область
        Республика Адыгея (Адыгея),2000,27.0,Республика Адыгея
        Республика Калмыкия,2000,19.0,Республика Калмыкия
        Краснодарский край,2000,304.0,Краснодарский край
        Астраханская область,2000,61.0,Астраханская область
        Волгоградская область,2000,137.0,Волгоградская область
        Ростовская область,2000,263.0,Ростовская область
        Республика Дагестан,2000,490.0,Республика Дагестан
        Республика Ингушетия,2000,82.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2000,66.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2000,82.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2000,26.0,Республика Северная Осетия - Алания
        Чеченская Республика,2000,0.0,Чеченская Республика
        Ставропольский край,2000,156.0,Ставропольский край
        Республика Башкортостан,2000,226.0,Республика Башкортостан
        Республика Марий Эл,2000,39.0,Республика Марий Эл
        Республика Мордовия,2000,23.0,Республика Мордовия
        Республика Татарстан (Татарстан),2000,155.0,Республика Татарстан
        Удмуртская Республика,2000,77.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2000,52.0,Чувашская Республика
        Пермский край,2000,165.0,Пермский край
        Кировская область,2000,61.0,Кировская область
        Нижегородская область,2000,110.0,Нижегородская область
        Оренбургская область,2000,167.0,Оренбургская область
        Пензенская область,2000,46.0,Пензенская область
        Самарская область,2000,65.0,Самарская область
        Саратовская область,2000,129.0,Саратовская область
        Ульяновская область,2000,56.0,Ульяновская область
        Курганская область,2000,68.0,Курганская область
        Свердловская область,2000,94.0,Свердловская область
        Тюменская область,2000,140.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2000,18.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2000,39.0,Ямало-Ненецкий автономный округ
        Челябинская область,2000,130.0,Челябинская область
        Республика Алтай,2000,50.0,Республика Алтай
        Республика Тыва,2000,63.0,Республика Тыва
        Республика Хакасия,2000,57.0,Республика Хакасия
        Алтайский край,2000,200.0,Алтайский край
        Красноярский край,2000,227.0,Красноярский край
        Иркутская область,2000,143.0,Иркутская область
        Кемеровская область - Кузбасс,2000,79.0,Кемеровская область
        Новосибирская область,2000,142.0,Новосибирская область
        Омская область,2000,88.0,Омская область
        Томская область,2000,66.0,Томская область
        Республика Бурятия,2000,85.0,Республика Бурятия
        Забайкальский край,2000,83.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),2000,7.0,Забайкальский край
        Республика Саха (Якутия),2000,110.0,Республика Саха (Якутия)
        Камчатский край,2000,8.0,Камчатский край
        Приморский край,2000,105.0,Приморский край
        Хабаровский край,2000,58.0,Хабаровский край
        Амурская область,2000,85.0,Амурская область
        Магаданская область,2000,0.0,Магаданская область
        Сахалинская область,2000,5.0,Сахалинская область
        Еврейская автономная область,2000,9.0,Еврейская автономная область
        Чукотский автономный округ,2000,11.0,Чукотский автономный округ
        Белгородская область,2001,62.0,Белгородская область
        Брянская область,2001,70.0,Брянская область
        Владимирская область,2001,35.0,Владимирская область
        Воронежская область,2001,87.0,Воронежская область
        Ивановская область,2001,31.0,Ивановская область
        Калужская область,2001,35.0,Калужская область
        Костромская область,2001,41.0,Костромская область
        Курская область,2001,55.0,Курская область
        Липецкая область,2001,48.0,Липецкая область
        Московская область,2001,106.0,Московская область
        Орловская область,2001,41.0,Орловская область
        Рязанская область,2001,34.0,Рязанская область
        Смоленская область,2001,49.0,Смоленская область
        Тамбовская область,2001,60.0,Тамбовская область
        Тверская область,2001,60.0,Тверская область
        Тульская область,2001,42.0,Тульская область
        Ярославская область,2001,37.0,Ярославская область
        Республика Карелия,2001,26.0,Республика Карелия
        Республика Коми,2001,22.0,Республика Коми
        Архангельская область,2001,62.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2001,7.0,Ненецкий автономный округ
        Вологодская область,2001,71.0,Вологодская область
        Калининградская область,2001,37.0,Калининградская область
        Ленинградская область,2001,47.0,Ленинградская область
        Мурманская область,2001,8.0,Мурманская область
        Новгородская область,2001,28.0,Новгородская область
        Псковская область,2001,46.0,Псковская область
        Республика Адыгея (Адыгея),2001,20.0,Республика Адыгея
        Республика Калмыкия,2001,29.0,Республика Калмыкия
        Краснодарский край,2001,288.0,Краснодарский край
        Астраханская область,2001,70.0,Астраханская область
        Волгоградская область,2001,129.0,Волгоградская область
        Ростовская область,2001,216.0,Ростовская область
        Республика Дагестан,2001,414.0,Республика Дагестан
        Республика Ингушетия,2001,80.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2001,68.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2001,44.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2001,32.0,Республика Северная Осетия - Алания
        Чеченская Республика,2001,0.0,Чеченская Республика
        Ставропольский край,2001,145.0,Ставропольский край
        Республика Башкортостан,2001,188.0,Республика Башкортостан
        Республика Марий Эл,2001,44.0,Республика Марий Эл
        Республика Мордовия,2001,31.0,Республика Мордовия
        Республика Татарстан (Татарстан),2001,134.0,Республика Татарстан
        Удмуртская Республика,2001,73.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2001,63.0,Чувашская Республика
        Пермский край,2001,133.0,Пермский край
        Кировская область,2001,61.0,Кировская область
        Нижегородская область,2001,99.0,Нижегородская область
        Оренбургская область,2001,141.0,Оренбургская область
        Пензенская область,2001,60.0,Пензенская область
        Самарская область,2001,52.0,Самарская область
        Саратовская область,2001,107.0,Саратовская область
        Ульяновская область,2001,57.0,Ульяновская область
        Курганская область,2001,68.0,Курганская область
        Свердловская область,2001,104.0,Свердловская область
        Тюменская область,2001,142.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2001,18.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2001,42.0,Ямало-Ненецкий автономный округ
        Челябинская область,2001,125.0,Челябинская область
        Республика Алтай,2001,46.0,Республика Алтай
        Республика Тыва,2001,85.0,Республика Тыва
        Республика Хакасия,2001,48.0,Республика Хакасия
        Алтайский край,2001,178.0,Алтайский край
