region,year,infant_mortality,region_standard
        Республика Адыгея (Адыгея),1991,43.0,Республика Адыгея
        Республика Калмыкия,1991,45.0,Республика Калмыкия
        Краснодарский край,1991,466.0,Краснодарский край
        Астраханская область,1991,73.0,Астраханская область
        Волгоградская область,1991,181.0,Волгоградская область
        Ростовская область,1991,348.0,Ростовская область
        Республика Дагестан,1991,684.0,Республика Дагестан
        Республика Ингушетия,1991,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1991,123.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1991,51.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1991,67.0,Республика Северная Осетия - Алания
        Чеченская Республика,1991,660.0,Чеченская Республика
        Ставропольский край,1991,269.0,Ставропольский край
        Республика Башкортостан,1991,371.0,Республика Башкортостан
        Республика Марий Эл,1991,77.0,Республика Марий Эл
        Республика Мордовия,1991,53.0,Республика Мордовия
        Республика Татарстан (Татарстан),1991,250.0,Республика Татарстан
        Удмуртская Республика,1991,134.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1991,125.0,Чувашская Республика
        Пермский край,1991,210.0,Пермский край
        Кировская область,1991,116.0,Кировская область
        Нижегородская область,1991,154.0,Нижегородская область
        Оренбургская область,1991,233.0,Оренбургская область
        Пензенская область,1991,93.0,Пензенская область
        Самарская область,1991,127.0,Самарская область
        Саратовская область,1991,205.0,Саратовская область
        Ульяновская область,1991,132.0,Ульяновская область
        Курганская область,1991,136.0,Курганская область
        Свердловская область,1991,164.0,Свердловская область
        Тюменская область,1991,267.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1991,44.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1991,48.0,Ямало-Ненецкий автономный округ
        Челябинская область,1991,173.0,Челябинская область
        Республика Алтай,1991,57.0,Республика Алтай
        Республика Тыва,1991,140.0,Республика Тыва
        Республика Хакасия,1991,58.0,Республика Хакасия
        Алтайский край,1991,245.0,Алтайский край
        Красноярский край,1991,315.0,Красноярский край
        Иркутская область,1991,250.0,Иркутская область
        Кемеровская область - Кузбасс,1991,154.0,Кемеровская область
        Новосибирская область,1991,257.0,Новосибирская область
        Омская область,1991,229.0,Омская область
        Томская область,1991,77.0,Томская область
        Республика Бурятия,1991,148.0,Республика Бурятия
        Забайкальский край,1991,151.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1991,17.0,Забайкальский край
        Республика Саха (Якутия),1991,202.0,Республика Саха (Якутия)
        Камчатский край,1991,22.0,Камчатский край
        Приморский край,1991,178.0,Приморский край
        Хабаровский край,1991,67.0,Хабаровский край
        Амурская область,1991,124.0,Амурская область
        Магаданская область,1991,11.0,Магаданская область
