region,not_crowded_pct,somewhat_crowded_pct,very_crowded_pct,no_answer_pct,total_area_per_person,living_area_per_person,rooms_per_household,intend_improve_housing,intend_due_to_crowding,intend_due_to_bad_condition,intend_due_to_both,plan_dolevka,plan_queue,plan_resettle,plan_buy_or_build,plan_rent,plan_other,no_answer,not_intending_to_improve,year,region_standard
Ульяновская область,87.7,11.3,1.0,0.0,25.7,17.9,2.4,13.2,7.9,1.0,0.5,23.8,2.3,0,36.4,2.6,34.8,0,86.8,2020,Ульяновская область
Хабаровский край,78.5,15.5,6.0,0.1,23.3,15.4,2.2,14.0,9.5,1.2,0.2,3.9,3.8,0,61.1,10,23,0.5,85.1,2020,Хабаровский край
Ханты-Мансийский авт. округ,81.1,15.4,3.5,0.0,22.2,13.9,2.1,17.3,7.3,2.8,0.6,3.8,12.8,20.8,47.1,0.2,15.2,0,82.7,2020,Ханты-Мансийский автономный округ
Челябинская область,78.6,16.5,4.9,0.0,23.6,16.0,2.2,15.0,8.5,0.8,0.5,15.8,2,1.5,50.7,3.5,26.5,0,84.7,2020,Челябинская область
Чеченская Республика,80.4,18.2,1.4,0.0,24.6,19.2,4.3,19.1,9.6,0.6,0.4,13,2.9,0,12.8,0.3,71,0,80.3,2020,Чеченская Республика
Чувашская Республика,72.0,20.0,8.0,0.0,20.7,14.2,2.3,27.2,14.2,1.2,0.3,8.3,6,0.9,34.8,0,50.6,0,72.8,2020,Чувашская Республика
Чукотский авт. округ,79.1,17.7,3.2,0.0,22.5,14.1,1.7,14.0,10.3,1.9,1.7,...,...,...,...,...,...,...,80.6,2020,Чукотский автономный округ
Ямало-Ненецкий авт. округ,78.8,15.2,4.5,1.5,21.8,15.5,2.1,17.7,5.4,1.7,0.8,9,17.3,11,20,4.9,36.9,4.1,77.6,2020,Ямало-Ненецкий автономный округ
Ярославская область,75.8,20.5,3.7,0.0,23.3,15.8,2.2,5.7,3.7,0.5,0.3,...,...,...,...,...,...,...,93.6,2020,Ярославская область
г. Санкт-Петербург,82.0,14.2,3.7,0.1,25.1,15.7,2.1,10.7,5.8,0.1,0.1,23.6,2.3,2.2,41.3,6.3,24.1,0.7,88.1,2020,Санкт-Петербург
г. Севастополь,73.5,19.7,6.8,0.0,21.5,13.7,2.2,6.8,3.9,1.2,1.2,...,...,...,...,...,...,...,93.2,2020,Севастополь
г.Москва,75.6,18.9,5.3,0.2,21.4,13.8,2.0,12.8,8.1,0.5,0.2,17.5,4.2,27.8,18,10.4,20.2,2.7,83.4,2020,Москва
