region,children_under_16,above_working_age,working_age_population,year,region_standard
Сахалинская область,36.4,6.4,57.1,2017,Сахалинская область
Еврейская автономная область,36.0,9.9,54.1,2017,Еврейская автономная область
Чукотский автономный округ,46.9,2.7,50.4,2017,Чукотский автономный округ
        Белгородская область,44.8,12.9,42.3,2018,Белгородская область
        Брянская область,40.3,1.8,57.9,2018,Брянская область
        Владимирская область,48.9,8.3,42.8,2018,Владимирская область
        Воронежская область,32.6,8.0,59.4,2018,Воронежская область
        Ивановская область,31.2,9.5,59.3,2018,Ивановская область
        Калужская область,40.8,5.5,53.7,2018,Калужская область
        Костромская область,46.8,1.1,52.1,2018,Костромская область
        Курская область,37.4,7.6,55.0,2018,Курская область
        Липецкая область,41.0,4.3,54.7,2018,Липецкая область
        Московская область,38.4,6.7,54.9,2018,Московская область
        Орловская область,39.8,4.7,55.5,2018,Орловская область
        Рязанская область,33.6,6.4,60.0,2018,Рязанская область
        Смоленская область,33.0,9.6,57.4,2018,Смоленская область
        Тамбовская область,32.2,1.3,66.5,2018,Тамбовская область
        Тверская область,43.8,4.5,51.7,2018,Тверская область
        Тульская область,35.4,4.2,60.4,2018,Тульская область
        Ярославская область,41.3,6.4,52.3,2018,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,34.4,7.3,58.4,2018,Москва
        Республика Карелия,38.9,6.9,54.2,2018,Республика Карелия
        Республика Коми,38.0,7.6,54.4,2018,Республика Коми
        Архангельская область,39.5,6.5,54.0,2018,Архангельская область
            Ненецкий автономный округ (Архангельская область),50.5,5.5,44.0,2018,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),38.8,6.6,54.6,2018,Архангельская область
        Вологодская область,37.8,6.9,55.3,2018,Вологодская область
        Калининградская область,34.8,14.9,50.3,2018,Калининградская область
        Ленинградская область,19.0,17.0,64.1,2018,Ленинградская область
        Мурманская область,38.5,5.9,55.5,2018,Мурманская область
        Новгородская область,24.0,12.0,64.0,2018,Новгородская область
        Псковская область,34.1,3.7,62.1,2018,Псковская область
        Город Санкт-Петербург город федерального значения,25.7,9.8,64.6,2018,Санкт-Петербург
        Республика Адыгея (Адыгея),39.5,11.5,49.0,2018,Республика Адыгея
        Республика Калмыкия,36.8,2.1,61.1,2018,Республика Калмыкия
        Республика Крым,44.9,5.5,49.6,2018,Республика Крым
        Краснодарский край,42.5,8.4,49.1,2018,Краснодарский край
        Астраханская область,35.0,5.2,59.8,2018,Астраханская область
        Волгоградская область,41.6,9.9,48.4,2018,Волгоградская область
        Ростовская область,38.1,4.5,57.4,2018,Ростовская область
        Город федерального значения Севастополь,41.6,7.2,51.1,2018,Севастополь
        Республика Дагестан,38.3,7.9,53.7,2018,Республика Дагестан
        Республика Ингушетия,40.9,7.3,51.8,2018,Республика Ингушетия
        Кабардино-Балкарская Республика,33.4,14.6,52.1,2018,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,38.2,11.0,50.8,2018,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,35.7,9.2,55.2,2018,Республика Северная Осетия - Алания
        Чеченская Республика,46.0,5.5,48.5,2018,Чеченская Республика
        Ставропольский край,36.2,7.2,56.6,2018,Ставропольский край
        Республика Башкортостан,36.6,4.0,59.4,2018,Республика Башкортостан
        Республика Марий Эл,33.9,6.7,59.4,2018,Республика Марий Эл
        Республика Мордовия,38.0,4.2,57.8,2018,Республика Мордовия
        Республика Татарстан (Татарстан),36.8,9.6,53.6,2018,Республика Татарстан
        Удмуртская Республика,43.9,6.1,50.0,2018,Удмуртская Республика
        Чувашская Республика - Чувашия,40.5,7.3,52.2,2018,Чувашская Республика
        Пермский край,38.7,6.0,55.3,2018,Пермский край
        Кировская область,35.9,8.0,56.0,2018,Кировская область
        Нижегородская область,40.1,5.6,54.3,2018,Нижегородская область
        Оренбургская область,45.0,4.6,50.3,2018,Оренбургская область
        Пензенская область,34.1,8.9,57.1,2018,Пензенская область
        Самарская область,41.7,3.1,55.1,2018,Самарская область
        Саратовская область,39.2,7.8,53.0,2018,Саратовская область
        Ульяновская область,31.8,5.5,62.7,2018,Ульяновская область
        Курганская область,39.4,5.6,55.0,2018,Курганская область
        Свердловская область,42.6,5.0,52.3,2018,Свердловская область
        Тюменская область,44.5,4.6,50.8,2018,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),42.5,6.4,51.0,2018,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),47.9,0.9,51.1,2018,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),52.2,0.6,47.2,2018,Тюменская область
        Челябинская область,44.2,3.2,52.6,2018,Челябинская область
Республика Алтай,46.2,5.2,48.6,2018,Республика Алтай
Республика Тыва,46.9,3.7,49.4,2018,Республика Тыва
Республика Хакасия,38.3,5.9,55.8,2018,Республика Хакасия
Алтайский край,42.1,5.1,52.8,2018,Алтайский край
Красноярский край,39.5,8.6,51.8,2018,Красноярский край
Иркутская область,39.8,4.2,56.0,2018,Иркутская область
Кемеровская область - Кузбасс,45.0,4.8,50.1,2018,Кемеровская область
Новосибирская область,33.6,9.3,57.0,2018,Новосибирская область
Омская область,43.3,5.0,51.7,2018,Омская область
Томская область,39.8,3.0,57.2,2018,Томская область
Республика Бурятия,45.6,5.7,48.7,2018,Республика Бурятия
Забайкальский край,40.9,7.6,51.5,2018,Забайкальский край
Республика Саха (Якутия),45.0,4.4,50.7,2018,Республика Саха (Якутия)
Камчатский край,45.9,0.9,53.2,2018,Камчатский край
Приморский край,39.5,4.4,56.1,2018,Приморский край
Хабаровский край,35.4,5.2,59.4,2018,Хабаровский край
Амурская область,40.6,4.6,54.8,2018,Амурская область
Магаданская область,30.7,11.5,57.8,2018,Магаданская область
Сахалинская область,32.9,4.3,62.8,2018,Сахалинская область
Еврейская автономная область,33.7,7.4,58.9,2018,Еврейская автономная область
Чукотский автономный округ,51.0,0.0,49.0,2018,Чукотский автономный округ
        Белгородская область,0.0,0.0,0.0,2019,Белгородская область
        Брянская область,37.5,5.1,57.4,2019,Брянская область
        Владимирская область,34.8,4.8,60.4,2019,Владимирская область
        Воронежская область,45.2,5.4,49.4,2019,Воронежская область
        Ивановская область,47.5,5.0,47.5,2019,Ивановская область
        Калужская область,31.1,18.4,50.4,2019,Калужская область
        Костромская область,42.1,6.3,51.6,2019,Костромская область
        Курская область,47.0,5.9,47.2,2019,Курская область
        Липецкая область,46.4,4.8,48.8,2019,Липецкая область
        Московская область,49.1,11.5,39.3,2019,Московская область
        Орловская область,38.9,6.3,54.7,2019,Орловская область
        Рязанская область,30.2,9.6,60.2,2019,Рязанская область
        Смоленская область,39.1,8.9,51.9,2019,Смоленская область
        Тамбовская область,41.0,5.1,53.9,2019,Тамбовская область
        Тверская область,36.7,13.8,49.4,2019,Тверская область
        Тульская область,43.0,3.2,53.7,2019,Тульская область
        Ярославская область,34.4,8.0,57.7,2019,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,40.2,11.3,48.5,2019,Москва
        Республика Карелия,42.2,6.0,51.8,2019,Республика Карелия
        Республика Коми,39.7,6.4,53.9,2019,Республика Коми
        Архангельская область,33.0,8.1,59.0,2019,Архангельская область
            Ненецкий автономный округ (Архангельская область),45.6,2.0,52.4,2019,Ненецкий автономный округ
