year,poverty_percent,region,income_per_capita,real_income,nominal_wage,real_wage,children_percent,elderly_percent,working_age_percent,alcohol_rate,drugs_rate,births,total,18_30,31_40,41_50,51_60,60_,gdp_per_capita,population,infant_mortality_rural,infant_mortality_urban,retail_per_capita,welfare_percent,production_total,dependent_percent,disabled_rate_per_1000,addiction_rate,production_per_capita,poverty_welfare_ratio,birth_rate_per_1000,infant_mortality_rural_rate,infant_mortality_urban_rate,disabled_18_30_rate,disabled_31_40_rate,disabled_41_50_rate,disabled_51_60_rate,disabled_60_plus_rate
2015,8.5,Белгородская область,28043.0,99.3,25456.0,93.2,43.4,11.8,42.3,50.7,2.0,17864.0,207048.375,5445.791666666667,9955.541666666668,15367.875,33092.791666666664,143186.375,447619.7,1501699.0,42.0,68.0,178097.0,11.3,672848478.5,55.2,137.8760823573832,52.7,448.0581518000611,0.7522123893805309,11.895859290044143,2.3510971786833856,3.80653828929691,3.626420252438516,6.629518742881674,10.233658675939719,22.036900648310123,95.34958403781317
2016,8.1,Белгородская область,29799.0,100.8,27091.0,100.8,43.4,11.8,42.3,46.1,1.6,17261.0,207048.375,5445.791666666667,9955.541666666668,15367.875,33092.791666666664,143186.375,501467.8,1506976.0,36.0,72.0,192504.0,11.8,721036298.8100001,55.2,137.3932796540887,47.7,478.46568147734274,0.6864406779661016,11.454064298303358,2.085626556978159,4.171253113956318,3.613721563360443,6.606304059697479,10.197823322999172,21.95973370953928,95.01569699849234
2017,7.8,Белгородская область,30342.0,99.1,29066.0,104.5,43.4,11.8,44.8,45.2,2.3,15113.0,218812.91666666663,6087.083333333333,10263.083333333334,16180.25,36412.583333333336,149869.91666666666,539720.5,1508137.0,34.0,43.0,203298.0,16.4,1566651476.0,55.2,145.08822253327557,47.5,1038.7991780587572,0.475609756097561,10.020972895698469,2.249718785151856,2.845232581221465,4.036160728987706,6.805139939762325,10.728634069716477,24.144081958955546,99.37420583585354
2018,7.5,Белгородская область,30778.0,98.7,31852.0,106.8,44.8,12.9,42.3,41.3,3.2,14318.0,210249.58333333337,5595.166666666667,10046.0,15496.916666666666,34092.416666666664,145019.08333333334,588641.5,1511899.0,33.0,40.0,217059.0,15.6,1790868258.62,57.699999999999996,139.0632465087505,44.5,1184.5158033836915,0.4807692307692308,9.47020931953788,2.30479117195139,2.793686269031988,3.7007542611422237,6.644623748014913,10.24996819672919,22.5494008969294,95.91849940593475
2019,7.8,Белгородская область,32352.0,100.6,34615.0,104.0,0.0,0.0,0.0,45.650000000000006,2.15,13197.99,203847.16666666663,5296.416666666667,9865.083333333334,15238.833333333334,32093.166666666668,141353.66666666666,617426.5,1513860.0,16.0,23.0,230704.0,13.8,1878072735.1399999,0.0,134.65390899202478,47.800000000000004,1240.5854802557699,0.5652173913043478,8.718104712456897,1.212305813233682,1.7426896065234176,3.4986172213194533,6.516509672845134,10.06621043777716,21.199560505374784,93.37301115470827
2020,7.2,Белгородская область,32841.0,98.1,37442.0,104.8,43.4,11.8,42.3,45.650000000000006,2.15,12351.99,196594.08333333337,5034.583333333333,9576.916666666666,14979.25,30043.583333333332,136959.75,646569.0,1511662.0,22.0,25.0,237076.0,16.1,1948293818.62,55.2,130.05161427179712,47.800000000000004,1288.8422270454637,0.44720496894409933,8.171132171080572,1.781089524845794,2.023965369142948,3.330495397339705,6.335355831307969,9.90912651108515,19.874537650171355,90.60209888189291
2015,14.1,Брянская область,23428.0,97.0,21679.0,89.0,41.599999999999994,4.300000000000001,54.8,102.5,6.7,14067.0,107690.33333333334,3735.4583333333335,6433.166666666666,9921.916666666668,19809.833333333336,67656.75,221080.0,1423178.0,44.0,67.0,177048.0,22.0,187525064.6,45.89999999999999,75.66891375030625,109.2,131.76501084193262,0.6409090909090909,9.884216872379984,3.127887964740172,4.762920309945262,2.62473023988098,4.520282541373367,6.971662481198183,13.919434767354003,47.53920451271731
2016,14.4,Брянская область,24006.0,95.0,22923.0,98.5,41.599999999999994,4.300000000000001,54.8,107.9,13.2,13379.0,107690.33333333334,3735.4583333333335,6433.166666666666,9921.916666666668,19809.833333333336,67656.75,258752.7,1407965.0,36.0,67.0,179767.0,26.6,192667442.62,45.89999999999999,76.48651304068875,121.10000000000001,136.841073904536,0.5413533834586466,9.502366891222438,2.6907840645788172,5.0078481201883545,2.6530903348686463,4.569123995743265,7.046990988175607,14.069833648800456,48.052863529988315
2017,14.2,Брянская область,25107.0,99.4,24743.0,103.2,42.9,4.9,52.2,92.2,10.7,11552.99,109693.41666666669,4098.166666666667,6521.666666666667,10130.5,21214.333333333332,67728.75,280630.1,1391430.0,31.0,65.0,192775.0,24.7,429415243.0,47.8,78.83502344111216,102.9,308.6143341741949,0.5748987854251012,8.302961701271354,2.6832880492409323,5.626249135505181,2.9452912950465833,4.687024619755695,7.280639342259402,15.246425140562826,48.67564304348763
2018,13.6,Брянская область,26585.0,102.1,27251.0,107.0,40.3,1.8,57.9,82.2,6.1,11124.0,108158.91666666669,3845.5833333333335,6439.333333333333,9962.0,20327.25,67584.75,304547.1,1375004.0,12.0,33.0,209987.0,23.7,490874009.4,42.099999999999994,78.66080147160785,88.3,356.9982410232988,0.5738396624472574,8.090158283175903,1.0787486515641855,2.9665587918015106,2.7967797427013545,4.683137891477649,7.245069832524123,14.783411539166432,49.15240246573828
2019,13.8,Брянская область,28371.0,100.5,29853.0,104.0,37.5,5.1,57.4,97.35,8.7,10028.0,107221.75,3625.3333333333335,6427.0,9881.833333333334,19292.416666666668,67995.16666666667,332442.8,1360249.0,11.0,26.0,225818.0,20.7,561934168.4,42.6,78.82509011217799,106.05,413.11125271917126,0.6666666666666667,7.372179652401877,1.0969285999202234,2.5927403270841647,2.6651983080548733,4.724870225965981,7.2647238361015765,14.183003749068492,49.98729399298707
2020,13.6,Брянская область,28596.0,96.3,31946.0,102.9,44.8,3.7,51.6,97.35,8.7,9480.0,105172.75,3460.3333333333335,6272.583333333333,9699.166666666666,18248.333333333332,67492.33333333333,347204.5,1344132.0,12.0,29.0,225643.0,23.1,566924480.2,48.5,78.24584936598488,106.05,421.77738510801026,0.5887445887445887,7.052878735124229,1.2658227848101267,3.059071729957806,2.574399934927026,4.6666423634980285,7.215933157358553,13.576295582080729,50.21257832812054
2015,14.7,Владимирская область,22712.0,99.5,23877.0,91.0,34.8,8.3,56.6,81.7,21.3,16284.0,126131.33333333331,3906.75,6762.75,9457.125,20354.291666666664,85688.58333333333,262945.5,1575507.0,31.0,76.0,139408.0,18.1,412895573.49999994,43.099999999999994,80.05761531578933,103.0,262.0715576001883,0.8121546961325966,10.335720501400502,1.9037091623679687,4.667157946450504,2.479677970329551,4.292427770869948,6.002591546721151,12.919201036026283,54.3879419979304
2016,14.6,Владимирская область,22365.0,92.2,25135.0,99.2,34.8,8.3,56.6,75.7,10.7,15662.0,126131.33333333331,3906.75,6762.75,9457.125,20354.291666666664,85688.58333333333,309713.7,1558052.0,28.0,72.0,143643.0,18.0,451378004.48,43.099999999999994,80.9545081507763,86.4,289.70663654358134,0.8111111111111111,10.052296072274867,1.7877665687651643,4.597114033967565,2.507458030925797,4.34051623437472,6.069839132455143,13.063936034655239,54.99725511942691
2017,13.2,Владимирская область,23554.0,100.9,26975.0,103.6,34.8,8.6,56.6,65.3,12.9,13395.0,131252.16666666666,4288.916666666667,6766.916666666667,9455.416666666666,22562.583333333332,88178.33333333333,325043.1,1539179.0,17.0,59.0,153088.0,24.0,907564711.58,43.4,85.27414073780025,78.2,589.6420829416202,0.5499999999999999,8.70269149981906,1.269130272489735,4.404628592758493,2.7864963507601566,4.396445550950648,6.143155972545537,14.658843015226516,57.2891998483174
2018,13.1,Владимирская область,23539.0,96.4,30460.0,109.9,48.9,8.3,42.8,66.5,7.8,12658.0,127306.83333333331,3984.0,6758.583333333333,9347.333333333334,20981.583333333332,86235.33333333333,349856.4,1520057.0,22.0,45.0,164519.0,23.4,1001970523.2,57.2,83.75135493822489,74.3,659.1664149436501,0.5598290598290598,8.327319304473452,1.738031284563122,3.5550639911518407,2.62095434579098,4.446269668396207,6.149330803603637,13.803155627278011,56.73164449315606
2019,12.6,Владимирская область,25358.0,101.9,33076.0,103.5,34.8,4.8,60.4,71.1,11.8,11158.0,124955.83333333331,3829.5,6798.666666666667,9458.833333333334,19727.0,85141.83333333333,394560.3,1509571.0,15.0,43.0,175251.0,23.4,1093307035.1399999,39.599999999999994,82.77572458223781,82.89999999999999,724.2501579190379,0.5384615384615384,7.391503943835699,1.3443269403118838,3.853737228894067,2.536813439049902,4.503707786296019,6.265908217191066,13.067951093390109,56.401344046310726
2020,12.5,Владимирская область,25922.0,98.0,35240.0,103.0,34.8,8.3,56.6,71.1,11.8,10120.0,121322.08333333331,3722.0833333333335,6672.5,9482.416666666666,18291.25,83153.83333333333,410443.6,1497598.0,10.0,51.0,177680.0,26.0,1162651995.94,43.099999999999994,81.01111468720799,82.89999999999999,776.3445169798571,0.4807692307692308,6.757487656901251,0.9881422924901185,5.039525691699605,2.4853687927823978,4.455468022793834,6.331750354011334,12.213724911491601,55.52480260612883
