region,year,grp_per_capita,region_standard
        Свердловская область,2002,52241.3,Свердловская область
        Тюменская область,2002,275622.5,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2002,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2002,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2002,0.0,Тюменская область
        Челябинская область,2002,47775.7,Челябинская область
        Республика Алтай,2002,26160.6,Республика Алтай
        Республика Тыва,2002,22421.0,Республика Тыва
        Республика Хакасия,2002,46443.7,Республика Хакасия
        Алтайский край,2002,27991.2,Алтайский край
        Красноярский край,2002,77729.0,Красноярский край
        Иркутская область,2002,54156.9,Иркутская область
        Кемеровская область - Кузбасс,2002,46860.1,Кемеровская область
        Новосибирская область,2002,45659.6,Новосибирская область
        Омская область,2002,44424.1,Омская область
        Томская область,2002,72107.4,Томская область
        Республика Бурятия,2002,38524.0,Республика Бурятия
        Забайкальский край,2002,38443.3,Забайкальский край
        Республика Саха (Якутия),2002,121163.1,Республика Саха (Якутия)
        Камчатский край,2002,71934.1,Камчатский край
        Приморский край,2002,46632.5,Приморский край
        Хабаровский край,2002,70162.9,Хабаровский край
        Амурская область,2002,50449.6,Амурская область
        Магаданская область,2002,121272.5,Магаданская область
        Сахалинская область,2002,85927.4,Сахалинская область
        Еврейская автономная область,2002,35766.0,Еврейская автономная область
        Чукотский автономный округ,2002,187368.1,Чукотский автономный округ
Российская Федерация,2003,74840.5,
        Белгородская область,2003,50271.4,Белгородская область
        Брянская область,2003,31953.4,Брянская область
        Владимирская область,2003,40809.4,Владимирская область
        Воронежская область,2003,42237.5,Воронежская область
        Ивановская область,2003,29192.4,Ивановская область
        Калужская область,2003,47136.5,Калужская область
        Костромская область,2003,40741.1,Костромская область
        Курская область,2003,46131.2,Курская область
        Липецкая область,2003,79661.2,Липецкая область
        Московская область,2003,62023.3,Московская область
        Орловская область,2003,49342.3,Орловская область
        Рязанская область,2003,48977.6,Рязанская область
        Смоленская область,2003,47084.3,Смоленская область
        Тамбовская область,2003,40133.5,Тамбовская область
        Тверская область,2003,47233.8,Тверская область
        Тульская область,2003,43541.9,Тульская область
        Ярославская область,2003,67915.1,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2003,209174.1,Москва
        Республика Карелия,2003,65708.0,Республика Карелия
        Республика Коми,2003,106304.1,Республика Коми
        Архангельская область,2003,78507.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2003,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2003,0.0,Архангельская область
        Вологодская область,2003,85259.1,Вологодская область
        Калининградская область,2003,49167.4,Калининградская область
        Ленинградская область,2003,72578.7,Ленинградская область
        Мурманская область,2003,91442.1,Мурманская область
        Новгородская область,2003,55387.3,Новгородская область
        Псковская область,2003,39190.7,Псковская область
        Город Санкт-Петербург город федерального значения,2003,87919.3,Санкт-Петербург
        Республика Адыгея (Адыгея),2003,22091.7,Республика Адыгея
        Республика Калмыкия,2003,22394.9,Республика Калмыкия
        Республика Крым,2003,0.0,Республика Крым
        Краснодарский край,2003,48572.8,Краснодарский край
        Астраханская область,2003,50386.3,Астраханская область
        Волгоградская область,2003,47934.1,Волгоградская область
        Ростовская область,2003,39180.4,Ростовская область
        Город федерального значения Севастополь,2003,0.0,Севастополь
        Республика Дагестан,2003,22168.7,Республика Дагестан
        Республика Ингушетия,2003,10332.4,Республика Ингушетия
        Кабардино-Балкарская Республика,2003,29036.2,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2003,25999.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2003,26705.1,Республика Северная Осетия - Алания
        Чеченская Республика,2003,0.0,Чеченская Республика
        Ставропольский край,2003,37058.0,Ставропольский край
        Республика Башкортостан,2003,59274.3,Республика Башкортостан
        Республика Марий Эл,2003,31719.0,Республика Марий Эл
        Республика Мордовия,2003,37681.7,Республика Мордовия
        Республика Татарстан (Татарстан),2003,80809.2,Республика Татарстан
        Удмуртская Республика,2003,56904.4,Удмуртская Республика
        Чувашская Республика - Чувашия,2003,34540.2,Чувашская Республика
        Пермский край,2003,74783.8,Пермский край
        Кировская область,2003,38900.6,Кировская область
        Нижегородская область,2003,59149.2,Нижегородская область
        Оренбургская область,2003,53548.8,Оренбургская область
        Пензенская область,2003,33304.2,Пензенская область
        Самарская область,2003,79369.1,Самарская область
        Саратовская область,2003,45223.0,Саратовская область
        Ульяновская область,2003,40195.3,Ульяновская область
        Курганская область,2003,36759.0,Курганская область
        Свердловская область,2003,63865.6,Свердловская область
        Тюменская область,2003,341146.7,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2003,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2003,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2003,0.0,Тюменская область
        Челябинская область,2003,61444.7,Челябинская область
        Республика Алтай,2003,34042.3,Республика Алтай
        Республика Тыва,2003,26607.4,Республика Тыва
        Республика Хакасия,2003,53320.2,Республика Хакасия
        Алтайский край,2003,34295.8,Алтайский край
        Красноярский край,2003,92547.5,Красноярский край
        Иркутская область,2003,65468.6,Иркутская область
        Кемеровская область - Кузбасс,2003,57302.3,Кемеровская область
        Новосибирская область,2003,57360.1,Новосибирская область
        Омская область,2003,55729.2,Омская область
        Томская область,2003,93193.8,Томская область
        Республика Бурятия,2003,53479.2,Республика Бурятия
        Забайкальский край,2003,46308.5,Забайкальский край
        Республика Саха (Якутия),2003,140065.1,Республика Саха (Якутия)
        Камчатский край,2003,83980.4,Камчатский край
        Приморский край,2003,57986.3,Приморский край
        Хабаровский край,2003,81613.4,Хабаровский край
        Амурская область,2003,59480.3,Амурская область
        Магаданская область,2003,135180.6,Магаданская область
        Сахалинская область,2003,116731.0,Сахалинская область
        Еврейская автономная область,2003,45196.1,Еврейская автономная область
        Чукотский автономный округ,2003,256992.1,Чукотский автономный округ
Российская Федерация,2004,97691.9,
        Белгородская область,2004,75629.4,Белгородская область
        Брянская область,2004,37719.1,Брянская область
        Владимирская область,2004,49353.4,Владимирская область
        Воронежская область,2004,49530.0,Воронежская область
        Ивановская область,2004,35732.7,Ивановская область
        Калужская область,2004,56325.6,Калужская область
        Костромская область,2004,52661.0,Костромская область
        Курская область,2004,63512.1,Курская область
        Липецкая область,2004,117959.2,Липецкая область
        Московская область,2004,79833.2,Московская область
        Орловская область,2004,54740.1,Орловская область
        Рязанская область,2004,58094.5,Рязанская область
        Смоленская область,2004,54178.9,Смоленская область
        Тамбовская область,2004,49098.8,Тамбовская область
        Тверская область,2004,61158.4,Тверская область
        Тульская область,2004,53715.1,Тульская область
        Ярославская область,2004,84008.1,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2004,268390.3,Москва
        Республика Карелия,2004,77509.7,Республика Карелия
        Республика Коми,2004,132733.1,Республика Коми
        Архангельская область,2004,109045.7,Архангельская область
            Ненецкий автономный округ (Архангельская область),2004,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2004,0.0,Архангельская область
        Вологодская область,2004,129015.6,Вологодская область
        Калининградская область,2004,70426.0,Калининградская область
        Ленинградская область,2004,99230.0,Ленинградская область
        Мурманская область,2004,144469.3,Мурманская область
        Новгородская область,2004,72549.3,Новгородская область
        Псковская область,2004,48358.5,Псковская область
        Город Санкт-Петербург город федерального значения,2004,116030.9,Санкт-Петербург
        Республика Адыгея (Адыгея),2004,28133.2,Республика Адыгея
        Республика Калмыкия,2004,29105.7,Республика Калмыкия
        Республика Крым,2004,0.0,Республика Крым
        Краснодарский край,2004,61291.7,Краснодарский край
        Астраханская область,2004,56357.5,Астраханская область
        Волгоградская область,2004,57928.0,Волгоградская область
        Ростовская область,2004,50678.6,Ростовская область
        Город федерального значения Севастополь,2004,0.0,Севастополь
        Республика Дагестан,2004,30629.6,Республика Дагестан
        Республика Ингушетия,2004,14024.9,Республика Ингушетия
        Кабардино-Балкарская Республика,2004,32884.8,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2004,29348.9,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2004,34323.6,Республика Северная Осетия - Алания
        Чеченская Республика,2004,0.0,Чеченская Республика
        Ставропольский край,2004,44610.0,Ставропольский край
        Республика Башкортостан,2004,76042.5,Республика Башкортостан
        Республика Марий Эл,2004,41757.6,Республика Марий Эл
        Республика Мордовия,2004,43807.6,Республика Мордовия
        Республика Татарстан (Татарстан),2004,103726.8,Республика Татарстан
        Удмуртская Республика,2004,64732.3,Удмуртская Республика
        Чувашская Республика - Чувашия,2004,45955.1,Чувашская Республика
        Пермский край,2004,96240.2,Пермский край
        Кировская область,2004,48464.8,Кировская область
        Нижегородская область,2004,69629.5,Нижегородская область
        Оренбургская область,2004,79522.8,Оренбургская область
        Пензенская область,2004,41595.8,Пензенская область
        Самарская область,2004,101362.5,Самарская область
        Саратовская область,2004,57710.3,Саратовская область
        Ульяновская область,2004,49606.5,Ульяновская область
        Курганская область,2004,42889.3,Курганская область
        Свердловская область,2004,82546.5,Свердловская область
        Тюменская область,2004,467803.8,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2004,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2004,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2004,0.0,Тюменская область
        Челябинская область,2004,81894.8,Челябинская область
        Республика Алтай,2004,42067.6,Республика Алтай
        Республика Тыва,2004,32309.0,Республика Тыва
        Республика Хакасия,2004,61336.4,Республика Хакасия
        Алтайский край,2004,44934.9,Алтайский край
        Красноярский край,2004,125287.8,Красноярский край
        Иркутская область,2004,84014.3,Иркутская область
        Кемеровская область - Кузбасс,2004,85850.4,Кемеровская область
        Новосибирская область,2004,71843.4,Новосибирская область
        Омская область,2004,94389.6,Омская область
        Томская область,2004,128090.8,Томская область
        Республика Бурятия,2004,65707.2,Республика Бурятия
        Забайкальский край,2004,53845.5,Забайкальский край
        Республика Саха (Якутия),2004,161309.0,Республика Саха (Якутия)
        Камчатский край,2004,101205.1,Камчатский край
        Приморский край,2004,74713.1,Приморский край
        Хабаровский край,2004,94795.1,Хабаровский край
        Амурская область,2004,72937.0,Амурская область
        Магаданская область,2004,139840.3,Магаданская область
        Сахалинская область,2004,172004.4,Сахалинская область
        Еврейская автономная область,2004,60029.9,Еврейская автономная область
        Чукотский автономный округ,2004,238227.2,Чукотский автономный округ
Российская Федерация,2005,125658.7,
        Белгородская область,2005,95911.2,Белгородская область
        Брянская область,2005,49923.4,Брянская область
        Владимирская область,2005,58261.0,Владимирская область
        Воронежская область,2005,56534.5,Воронежская область
        Ивановская область,2005,40039.1,Ивановская область
        Калужская область,2005,69192.2,Калужская область
        Костромская область,2005,63304.4,Костромская область
        Курская область,2005,72995.3,Курская область
        Липецкая область,2005,121376.2,Липецкая область
        Московская область,2005,104738.3,Московская область
        Орловская область,2005,64180.4,Орловская область
        Рязанская область,2005,70665.8,Рязанская область
        Смоленская область,2005,63687.0,Смоленская область
        Тамбовская область,2005,55573.9,Тамбовская область
        Тверская область,2005,68048.7,Тверская область
        Тульская область,2005,71587.4,Тульская область
        Ярославская область,2005,99335.1,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2005,381997.1,Москва
        Республика Карелия,2005,112950.3,Республика Карелия
        Республика Коми,2005,176075.2,Республика Коми
        Архангельская область,2005,128965.3,Архангельская область
            Ненецкий автономный округ (Архангельская область),2005,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2005,0.0,Архангельская область
        Вологодская область,2005,156379.7,Вологодская область
        Калининградская область,2005,87122.8,Калининградская область
        Ленинградская область,2005,122024.2,Ленинградская область
        Мурманская область,2005,156652.5,Мурманская область
        Новгородская область,2005,95286.2,Новгородская область
        Псковская область,2005,55772.9,Псковская область
        Город Санкт-Петербург город федерального значения,2005,141795.6,Санкт-Петербург
        Республика Адыгея (Адыгея),2005,38514.5,Республика Адыгея
        Республика Калмыкия,2005,33017.9,Республика Калмыкия
        Республика Крым,2005,0.0,Республика Крым
        Краснодарский край,2005,72794.1,Краснодарский край
        Астраханская область,2005,69814.0,Астраханская область
        Волгоградская область,2005,76740.6,Волгоградская область
        Ростовская область,2005,60575.0,Ростовская область
        Город федерального значения Севастополь,2005,0.0,Севастополь
        Республика Дагестан,2005,33839.8,Республика Дагестан
        Республика Ингушетия,2005,17435.1,Республика Ингушетия
        Кабардино-Балкарская Республика,2005,42253.1,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2005,36971.7,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2005,44127.2,Республика Северная Осетия - Алания
        Чеченская Республика,2005,20038.4,Чеченская Республика
        Ставропольский край,2005,53414.6,Ставропольский край
        Республика Башкортостан,2005,93683.1,Республика Башкортостан
        Республика Марий Эл,2005,46589.5,Республика Марий Эл
        Республика Мордовия,2005,50982.6,Республика Мордовия
        Республика Татарстан (Татарстан),2005,128226.9,Республика Татарстан
        Удмуртская Республика,2005,90316.3,Удмуртская Республика
        Чувашская Республика - Чувашия,2005,54001.9,Чувашская Республика
        Пермский край,2005,119654.0,Пермский край
        Кировская область,2005,55726.6,Кировская область
        Нижегородская область,2005,87354.7,Нижегородская область
        Оренбургская область,2005,101110.3,Оренбургская область
        Пензенская область,2005,52163.8,Пензенская область
        Самарская область,2005,124575.2,Самарская область
        Саратовская область,2005,65656.6,Саратовская область
        Ульяновская область,2005,59804.8,Ульяновская область
        Курганская область,2005,51724.0,Курганская область
        Свердловская область,2005,108697.2,Свердловская область
        Тюменская область,2005,673208.3,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2005,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2005,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2005,0.0,Тюменская область
        Челябинская область,2005,99159.8,Челябинская область
        Республика Алтай,2005,43592.3,Республика Алтай
        Республика Тыва,2005,38429.7,Республика Тыва
        Республика Хакасия,2005,77864.6,Республика Хакасия
        Алтайский край,2005,53812.4,Алтайский край
        Красноярский край,2005,152389.0,Красноярский край
        Иркутская область,2005,102904.3,Иркутская область
        Кемеровская область - Кузбасс,2005,104764.5,Кемеровская область
        Новосибирская область,2005,88475.5,Новосибирская область
        Омская область,2005,108970.6,Омская область
        Томская область,2005,155365.2,Томская область
        Республика Бурятия,2005,77313.2,Республика Бурятия
        Забайкальский край,2005,61741.0,Забайкальский край
        Республика Саха (Якутия),2005,191896.0,Республика Саха (Якутия)
        Камчатский край,2005,129240.8,Камчатский край
        Приморский край,2005,92504.2,Приморский край
        Хабаровский край,2005,116257.5,Хабаровский край
        Амурская область,2005,88597.1,Амурская область
        Магаданская область,2005,157798.9,Магаданская область
        Сахалинская область,2005,230298.2,Сахалинская область
        Еврейская автономная область,2005,77319.2,Еврейская автономная область
        Чукотский автономный округ,2005,237134.5,Чукотский автономный округ
Российская Федерация,2006,157233.0,
        Белгородская область,2006,118211.4,Белгородская область
        Брянская область,2006,62187.8,Брянская область
        Владимирская область,2006,76184.8,Владимирская область
        Воронежская область,2006,70492.7,Воронежская область
        Ивановская область,2006,50271.5,Ивановская область
        Калужская область,2006,84317.4,Калужская область
        Костромская область,2006,78226.9,Костромская область
        Курская область,2006,88949.4,Курская область
        Липецкая область,2006,150197.1,Липецкая область
        Московская область,2006,137092.1,Московская область
        Орловская область,2006,79341.5,Орловская область
        Рязанская область,2006,89010.9,Рязанская область
        Смоленская область,2006,77366.8,Смоленская область
        Тамбовская область,2006,70416.2,Тамбовская область
        Тверская область,2006,90517.8,Тверская область
        Тульская область,2006,88476.2,Тульская область
        Ярославская область,2006,117309.2,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2006,477873.0,Москва
        Республика Карелия,2006,125613.2,Республика Карелия
        Республика Коми,2006,229053.7,Республика Коми
        Архангельская область,2006,169458.4,Архангельская область
            Ненецкий автономный округ (Архангельская область),2006,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2006,0.0,Архангельская область
        Вологодская область,2006,164130.2,Вологодская область
        Калининградская область,2006,110255.4,Калининградская область
        Ленинградская область,2006,157122.1,Ленинградская область
        Мурманская область,2006,190124.3,Мурманская область
        Новгородская область,2006,113246.4,Новгородская область
        Псковская область,2006,72029.1,Псковская область
        Город Санкт-Петербург город федерального значения,2006,174432.8,Санкт-Петербург
        Республика Адыгея (Адыгея),2006,48050.2,Республика Адыгея
        Республика Калмыкия,2006,43797.2,Республика Калмыкия
        Республика Крым,2006,0.0,Республика Крым
        Краснодарский край,2006,94244.0,Краснодарский край
        Астраханская область,2006,84950.0,Астраханская область
        Волгоградская область,2006,95683.4,Волгоградская область
        Ростовская область,2006,78642.0,Ростовская область
        Город федерального значения Севастополь,2006,0.0,Севастополь
        Республика Дагестан,2006,45741.7,Республика Дагестан
        Республика Ингушетия,2006,21922.4,Республика Ингушетия
        Кабардино-Балкарская Республика,2006,50225.2,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2006,50778.7,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2006,61229.6,Республика Северная Осетия - Алания
        Чеченская Республика,2006,27831.4,Чеченская Республика
        Ставропольский край,2006,66136.4,Ставропольский край
        Республика Башкортостан,2006,124439.6,Республика Башкортостан
        Республика Марий Эл,2006,61413.0,Республика Марий Эл
        Республика Мордовия,2006,67309.8,Республика Мордовия
        Республика Татарстан (Татарстан),2006,161045.9,Республика Татарстан
        Удмуртская Республика,2006,106891.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2006,73147.3,Чувашская Республика
        Пермский край,2006,141864.8,Пермский край
        Кировская область,2006,68958.3,Кировская область
        Нижегородская область,2006,110662.7,Нижегородская область
        Оренбургская область,2006,145532.5,Оренбургская область
        Пензенская область,2006,62719.8,Пензенская область
        Самарская область,2006,151238.8,Самарская область
        Саратовская область,2006,79127.0,Саратовская область
        Ульяновская область,2006,76474.6,Ульяновская область
        Курганская область,2006,71738.6,Курганская область
        Свердловская область,2006,150548.6,Свердловская область
        Тюменская область,2006,773076.2,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2006,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2006,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2006,0.0,Тюменская область
        Челябинская область,2006,127442.5,Челябинская область
        Республика Алтай,2006,57555.4,Республика Алтай
        Республика Тыва,2006,50051.7,Республика Тыва
        Республика Хакасия,2006,100828.4,Республика Хакасия
        Алтайский край,2006,69852.0,Алтайский край
        Красноярский край,2006,205042.4,Красноярский край
        Иркутская область,2006,133413.7,Иркутская область
        Кемеровская область - Кузбасс,2006,122394.2,Кемеровская область
        Новосибирская область,2006,111679.3,Новосибирская область
        Омская область,2006,130614.3,Омская область
        Томская область,2006,184433.6,Томская область
        Республика Бурятия,2006,94965.1,Республика Бурятия
        Забайкальский край,2006,81066.2,Забайкальский край
        Республика Саха (Якутия),2006,216535.9,Республика Саха (Якутия)
        Камчатский край,2006,168173.2,Камчатский край
        Приморский край,2006,108099.2,Приморский край
        Хабаровский край,2006,141994.7,Хабаровский край
        Амурская область,2006,111116.2,Амурская область
        Магаданская область,2006,185017.6,Магаданская область
        Сахалинская область,2006,321108.8,Сахалинская область
        Еврейская автономная область,2006,99578.4,Еврейская автономная область
        Чукотский автономный округ,2006,295107.1,Чукотский автономный округ
Российская Федерация,2007,195819.0,
        Белгородская область,2007,156225.1,Белгородская область
        Брянская область,2007,78518.8,Брянская область
        Владимирская область,2007,99682.5,Владимирская область
        Воронежская область,2007,94849.5,Воронежская область
        Ивановская область,2007,68865.7,Ивановская область
        Калужская область,2007,109790.3,Калужская область
        Костромская область,2007,95687.2,Костромская область
        Курская область,2007,111348.4,Курская область
        Липецкая область,2007,176534.6,Липецкая область
        Московская область,2007,188565.3,Московская область
        Орловская область,2007,95387.1,Орловская область
        Рязанская область,2007,102982.5,Рязанская область
        Смоленская область,2007,94432.4,Смоленская область
        Тамбовская область,2007,94532.5,Тамбовская область
        Тверская область,2007,112021.5,Тверская область
        Тульская область,2007,109225.6,Тульская область
        Ярославская область,2007,143936.4,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2007,601146.9,Москва
        Республика Карелия,2007,157959.0,Республика Карелия
        Республика Коми,2007,256586.2,Республика Коми
        Архангельская область,2007,212908.3,Архангельская область
            Ненецкий автономный округ (Архангельская область),2007,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2007,0.0,Архангельская область
        Вологодская область,2007,199003.0,Вологодская область
        Калининградская область,2007,153964.0,Калининградская область
        Ленинградская область,2007,182657.9,Ленинградская область
        Мурманская область,2007,233765.5,Мурманская область
        Новгородская область,2007,132334.8,Новгородская область
        Псковская область,2007,87456.7,Псковская область
        Город Санкт-Петербург город федерального значения,2007,235410.3,Санкт-Петербург
        Республика Адыгея (Адыгея),2007,66366.2,Республика Адыгея
        Республика Калмыкия,2007,58925.2,Республика Калмыкия
        Республика Крым,2007,0.0,Республика Крым
        Краснодарский край,2007,125700.4,Краснодарский край
        Астраханская область,2007,99999.4,Астраханская область
        Волгоградская область,2007,126313.1,Волгоградская область
        Ростовская область,2007,104603.1,Ростовская область
        Город федерального значения Севастополь,2007,0.0,Севастополь
        Республика Дагестан,2007,56812.6,Республика Дагестан
        Республика Ингушетия,2007,41340.7,Республика Ингушетия
        Кабардино-Балкарская Республика,2007,57011.8,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2007,59200.9,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2007,74356.6,Республика Северная Осетия - Алания
        Чеченская Республика,2007,40572.6,Чеченская Республика
        Ставропольский край,2007,80715.3,Ставропольский край
        Республика Башкортостан,2007,145543.9,Республика Башкортостан
        Республика Марий Эл,2007,77919.2,Республика Марий Эл
        Республика Мордовия,2007,90138.7,Республика Мордовия
        Республика Татарстан (Татарстан),2007,201172.1,Республика Татарстан
        Удмуртская Республика,2007,133904.7,Удмуртская Республика
        Чувашская Республика - Чувашия,2007,97528.7,Чувашская Республика
        Пермский край,2007,178096.8,Пермский край
        Кировская область,2007,85144.4,Кировская область
