region,year,grp_per_capita,region_standard
        Краснодарский край,1997,8538.6,Краснодарский край
        Астраханская область,1997,8559.6,Астраханская область
        Волгоградская область,1997,10447.4,Волгоградская область
        Ростовская область,1997,7493.3,Ростовская область
        Республика Дагестан,1997,3888.4,Республика Дагестан
        Республика Ингушетия,1997,3317.1,Республика Ингушетия
        Кабардино-Балкарская Республика,1997,5459.2,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1997,5703.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1997,4796.8,Республика Северная Осетия - Алания
        Чеченская Республика,1997,0.0,Чеченская Республика
        Ставропольский край,1997,8833.8,Ставропольский край
        Республика Башкортостан,1997,14086.0,Республика Башкортостан
        Республика Марий Эл,1997,7522.7,Республика Марий Эл
        Республика Мордовия,1997,8509.1,Республика Мордовия
        Республика Татарстан (Татарстан),1997,14849.0,Республика Татарстан
        Удмуртская Республика,1997,11868.5,Удмуртская Республика
        Чувашская Республика - Чувашия,1997,7897.0,Чувашская Республика
        Пермский край,1997,15677.7,Пермский край
        Кировская область,1997,9882.8,Кировская область
        Нижегородская область,1997,12205.3,Нижегородская область
        Оренбургская область,1997,12428.0,Оренбургская область
        Пензенская область,1997,7209.2,Пензенская область
        Самарская область,1997,18514.7,Самарская область
        Саратовская область,1997,10450.4,Саратовская область
        Ульяновская область,1997,10148.4,Ульяновская область
        Курганская область,1997,7940.3,Курганская область
        Свердловская область,1997,14591.8,Свердловская область
        Тюменская область,1997,55035.5,Тюменская область
        Челябинская область,1997,13096.6,Челябинская область
        Республика Алтай,1997,6522.5,Республика Алтай
        Республика Тыва,1997,5925.8,Республика Тыва
        Республика Хакасия,1997,13774.9,Республика Хакасия
        Алтайский край,1997,7431.0,Алтайский край
        Красноярский край,1997,19933.1,Красноярский край
        Иркутская область,1997,18708.6,Иркутская область
        Кемеровская область - Кузбасс,1997,14310.1,Кемеровская область
        Новосибирская область,1997,12562.7,Новосибирская область
        Омская область,1997,13008.3,Омская область
        Томская область,1997,17516.7,Томская область
        Республика Бурятия,1997,10642.0,Республика Бурятия
        Забайкальский край,1997,10263.3,Забайкальский край
        Республика Саха (Якутия),1997,30625.2,Республика Саха (Якутия)
        Камчатский край,1997,22086.6,Камчатский край
        Приморский край,1997,13043.3,Приморский край
        Хабаровский край,1997,19803.7,Хабаровский край
        Амурская область,1997,15818.0,Амурская область
        Магаданская область,1997,30770.0,Магаданская область
        Сахалинская область,1997,19625.3,Сахалинская область
        Еврейская автономная область,1997,8355.6,Еврейская автономная область
        Чукотский автономный округ,1997,33540.9,Чукотский автономный округ
Российская Федерация,1998,15371.1,
        Белгородская область,1998,12242.8,Белгородская область
        Брянская область,1998,7659.1,Брянская область
        Владимирская область,1998,9350.2,Владимирская область
        Воронежская область,1998,9082.1,Воронежская область
        Ивановская область,1998,6804.5,Ивановская область
        Калужская область,1998,9330.4,Калужская область
        Костромская область,1998,10971.7,Костромская область
        Курская область,1998,11909.9,Курская область
        Липецкая область,1998,13216.6,Липецкая область
        Московская область,1998,12329.5,Московская область
        Орловская область,1998,10641.3,Орловская область
        Рязанская область,1998,10000.6,Рязанская область
        Смоленская область,1998,10358.8,Смоленская область
        Тамбовская область,1998,7866.9,Тамбовская область
        Тверская область,1998,10655.2,Тверская область
        Тульская область,1998,10084.8,Тульская область
        Ярославская область,1998,13911.4,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1998,33887.4,Москва
        Республика Карелия,1998,15055.1,Республика Карелия
        Республика Коми,1998,26798.7,Республика Коми
        Архангельская область,1998,15755.3,Архангельская область
            Ненецкий автономный округ (Архангельская область),1998,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),1998,0.0,Архангельская область
        Вологодская область,1998,18080.3,Вологодская область
        Калининградская область,1998,8783.5,Калининградская область
        Ленинградская область,1998,12708.0,Ленинградская область
        Мурманская область,1998,23233.5,Мурманская область
        Новгородская область,1998,12860.3,Новгородская область
        Псковская область,1998,7616.8,Псковская область
        Город Санкт-Петербург город федерального значения,1998,18024.9,Санкт-Петербург
        Республика Адыгея (Адыгея),1998,6907.7,Республика Адыгея
        Республика Калмыкия,1998,4899.8,Республика Калмыкия
        Республика Крым,1998,0.0,Республика Крым
        Краснодарский край,1998,10063.7,Краснодарский край
        Астраханская область,1998,10172.2,Астраханская область
        Волгоградская область,1998,11000.6,Волгоградская область
        Ростовская область,1998,8455.0,Ростовская область
        Город федерального значения Севастополь,1998,0.0,Севастополь
        Республика Дагестан,1998,3589.4,Республика Дагестан
        Республика Ингушетия,1998,3428.9,Республика Ингушетия
        Кабардино-Балкарская Республика,1998,6611.7,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1998,6391.3,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1998,5727.5,Республика Северная Осетия - Алания
        Чеченская Республика,1998,0.0,Чеченская Республика
        Ставропольский край,1998,10363.8,Ставропольский край
        Республика Башкортостан,1998,13745.0,Республика Башкортостан
        Республика Марий Эл,1998,8156.1,Республика Марий Эл
        Республика Мордовия,1998,8963.9,Республика Мордовия
        Республика Татарстан (Татарстан),1998,17366.3,Республика Татарстан
        Удмуртская Республика,1998,11807.2,Удмуртская Республика
        Чувашская Республика - Чувашия,1998,8328.9,Чувашская Республика
        Пермский край,1998,17955.2,Пермский край
        Кировская область,1998,9978.7,Кировская область
        Нижегородская область,1998,12936.8,Нижегородская область
        Оренбургская область,1998,12296.5,Оренбургская область
        Пензенская область,1998,6940.6,Пензенская область
        Самарская область,1998,20439.5,Самарская область
        Саратовская область,1998,10186.4,Саратовская область
        Ульяновская область,1998,10233.6,Ульяновская область
        Курганская область,1998,8833.0,Курганская область
        Свердловская область,1998,15825.7,Свердловская область
        Тюменская область,1998,58587.7,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1998,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1998,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),1998,0.0,Тюменская область
        Челябинская область,1998,12152.2,Челябинская область
        Республика Алтай,1998,7596.2,Республика Алтай
        Республика Тыва,1998,6404.6,Республика Тыва
        Республика Хакасия,1998,14496.9,Республика Хакасия
        Алтайский край,1998,8012.4,Алтайский край
        Красноярский край,1998,22937.6,Красноярский край
        Иркутская область,1998,18834.6,Иркутская область
        Кемеровская область - Кузбасс,1998,14326.3,Кемеровская область
        Новосибирская область,1998,12586.1,Новосибирская область
        Омская область,1998,12458.3,Омская область
        Томская область,1998,19078.5,Томская область
        Республика Бурятия,1998,10953.8,Республика Бурятия
        Забайкальский край,1998,10602.1,Забайкальский край
        Республика Саха (Якутия),1998,34109.9,Республика Саха (Якутия)
        Камчатский край,1998,30380.4,Камчатский край
        Приморский край,1998,14394.0,Приморский край
        Хабаровский край,1998,19517.6,Хабаровский край
        Амурская область,1998,15103.7,Амурская область
        Магаданская область,1998,32315.5,Магаданская область
        Сахалинская область,1998,21428.2,Сахалинская область
        Еврейская автономная область,1998,7535.3,Еврейская автономная область
        Чукотский автономный округ,1998,37859.4,Чукотский автономный округ
Российская Федерация,1999,26200.6,
        Белгородская область,1999,21398.0,Белгородская область
        Брянская область,1999,11752.4,Брянская область
        Владимирская область,1999,15457.1,Владимирская область
        Воронежская область,1999,14808.3,Воронежская область
        Ивановская область,1999,9765.2,Ивановская область
        Калужская область,1999,14891.4,Калужская область
        Костромская область,1999,17450.4,Костромская область
        Курская область,1999,17093.8,Курская область
        Липецкая область,1999,25079.9,Липецкая область
        Московская область,1999,19753.4,Московская область
        Орловская область,1999,17800.8,Орловская область
        Рязанская область,1999,15691.0,Рязанская область
        Смоленская область,1999,18562.0,Смоленская область
        Тамбовская область,1999,13514.2,Тамбовская область
        Тверская область,1999,16527.4,Тверская область
        Тульская область,1999,16300.3,Тульская область
        Ярославская область,1999,23596.7,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1999,70506.5,Москва
        Республика Карелия,1999,27099.9,Республика Карелия
        Республика Коми,1999,41025.0,Республика Коми
        Архангельская область,1999,25622.9,Архангельская область
            Ненецкий автономный округ (Архангельская область),1999,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),1999,0.0,Архангельская область
        Вологодская область,1999,34471.0,Вологодская область
        Калининградская область,1999,16270.4,Калининградская область
        Ленинградская область,1999,23516.4,Ленинградская область
        Мурманская область,1999,43012.3,Мурманская область
        Новгородская область,1999,21772.7,Новгородская область
        Псковская область,1999,13947.2,Псковская область
        Город Санкт-Петербург город федерального значения,1999,28247.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1999,10061.7,Республика Адыгея
        Республика Калмыкия,1999,7104.1,Республика Калмыкия
        Республика Крым,1999,0.0,Республика Крым
        Краснодарский край,1999,19267.7,Краснодарский край
        Астраханская область,1999,15805.2,Астраханская область
        Волгоградская область,1999,16181.9,Волгоградская область
        Ростовская область,1999,14380.4,Ростовская область
        Город федерального значения Севастополь,1999,0.0,Севастополь
        Республика Дагестан,1999,5383.3,Республика Дагестан
        Республика Ингушетия,1999,5098.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1999,11057.3,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1999,9550.5,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1999,9835.2,Республика Северная Осетия - Алания
        Чеченская Республика,1999,0.0,Чеченская Республика
        Ставропольский край,1999,14018.6,Ставропольский край
        Республика Башкортостан,1999,23709.8,Республика Башкортостан
        Республика Марий Эл,1999,12369.4,Республика Марий Эл
        Республика Мордовия,1999,13176.5,Республика Мордовия
        Республика Татарстан (Татарстан),1999,28593.4,Республика Татарстан
        Удмуртская Республика,1999,21642.8,Удмуртская Республика
        Чувашская Республика - Чувашия,1999,12407.3,Чувашская Республика
        Пермский край,1999,30241.6,Пермский край
        Кировская область,1999,16164.9,Кировская область
        Нижегородская область,1999,19806.2,Нижегородская область
        Оренбургская область,1999,23293.9,Оренбургская область
        Пензенская область,1999,11825.9,Пензенская область
        Самарская область,1999,32022.5,Самарская область
        Саратовская область,1999,16130.7,Саратовская область
        Ульяновская область,1999,16310.6,Ульяновская область
        Курганская область,1999,13882.1,Курганская область
        Свердловская область,1999,24476.2,Свердловская область
        Тюменская область,1999,98130.1,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1999,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1999,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),1999,0.0,Тюменская область
        Челябинская область,1999,21580.9,Челябинская область
        Республика Алтай,1999,10817.6,Республика Алтай
        Республика Тыва,1999,8908.8,Республика Тыва
        Республика Хакасия,1999,23582.9,Республика Хакасия
        Алтайский край,1999,12204.8,Алтайский край
        Красноярский край,1999,41021.4,Красноярский край
        Иркутская область,1999,29255.0,Иркутская область
        Кемеровская область - Кузбасс,1999,21682.1,Кемеровская область
        Новосибирская область,1999,19322.5,Новосибирская область
        Омская область,1999,15727.1,Омская область
        Томская область,1999,25149.2,Томская область
        Республика Бурятия,1999,16039.5,Республика Бурятия
        Забайкальский край,1999,17321.4,Забайкальский край
        Республика Саха (Якутия),1999,64704.9,Республика Саха (Якутия)
        Камчатский край,1999,39638.0,Камчатский край
        Приморский край,1999,24716.7,Приморский край
        Хабаровский край,1999,27162.8,Хабаровский край
        Амурская область,1999,21935.4,Амурская область
        Магаданская область,1999,50936.4,Магаданская область
        Сахалинская область,1999,45662.9,Сахалинская область
        Еврейская автономная область,1999,15344.9,Еврейская автономная область
        Чукотский автономный округ,1999,49746.0,Чукотский автономный округ
Российская Федерация,2000,39532.3,
        Белгородская область,2000,27969.5,Белгородская область
        Брянская область,2000,17413.5,Брянская область
        Владимирская область,2000,21073.3,Владимирская область
        Воронежская область,2000,20365.1,Воронежская область
        Ивановская область,2000,14240.0,Ивановская область
        Калужская область,2000,22438.0,Калужская область
        Костромская область,2000,21984.7,Костромская область
        Курская область,2000,23677.7,Курская область
        Липецкая область,2000,39050.9,Липецкая область
        Московская область,2000,26687.7,Московская область
        Орловская область,2000,25168.4,Орловская область
        Рязанская область,2000,22070.3,Рязанская область
        Смоленская область,2000,25798.1,Смоленская область
        Тамбовская область,2000,19133.8,Тамбовская область
        Тверская область,2000,23073.1,Тверская область
        Тульская область,2000,24291.8,Тульская область
        Ярославская область,2000,29828.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2000,115630.5,Москва
        Республика Карелия,2000,38539.2,Республика Карелия
        Республика Коми,2000,56619.5,Республика Коми
        Архангельская область,2000,44797.4,Архангельская область
            Ненецкий автономный округ (Архангельская область),2000,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2000,0.0,Архангельская область
        Вологодская область,2000,53432.8,Вологодская область
        Калининградская область,2000,24308.8,Калининградская область
        Ленинградская область,2000,33265.1,Ленинградская область
        Мурманская область,2000,59157.8,Мурманская область
        Новгородская область,2000,29347.0,Новгородская область
        Псковская область,2000,20544.7,Псковская область
        Город Санкт-Петербург город федерального значения,2000,39811.1,Санкт-Петербург
        Республика Адыгея (Адыгея),2000,12315.1,Республика Адыгея
        Республика Калмыкия,2000,20183.7,Республика Калмыкия
        Республика Крым,2000,0.0,Республика Крым
        Краснодарский край,2000,26713.9,Краснодарский край
        Астраханская область,2000,27815.3,Астраханская область
        Волгоградская область,2000,23340.8,Волгоградская область
        Ростовская область,2000,20003.8,Ростовская область
        Город федерального значения Севастополь,2000,0.0,Севастополь
        Республика Дагестан,2000,8489.7,Республика Дагестан
        Республика Ингушетия,2000,6667.9,Республика Ингушетия
        Кабардино-Балкарская Республика,2000,15948.9,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2000,12404.2,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2000,11964.5,Республика Северная Осетия - Алания
        Чеченская Республика,2000,0.0,Чеченская Республика
        Ставропольский край,2000,19603.9,Ставропольский край
        Республика Башкортостан,2000,35245.9,Республика Башкортостан
        Республика Марий Эл,2000,15114.8,Республика Марий Эл
        Республика Мордовия,2000,19219.8,Республика Мордовия
        Республика Татарстан (Татарстан),2000,49139.3,Республика Татарстан
        Удмуртская Республика,2000,33488.8,Удмуртская Республика
        Чувашская Республика - Чувашия,2000,17276.5,Чувашская Республика
        Пермский край,2000,43273.2,Пермский край
        Кировская область,2000,23165.6,Кировская область
        Нижегородская область,2000,29090.1,Нижегородская область
        Оренбургская область,2000,34585.2,Оренбургская область
        Пензенская область,2000,16900.3,Пензенская область
        Самарская область,2000,42758.9,Самарская область
        Саратовская область,2000,23315.4,Саратовская область
        Ульяновская область,2000,21411.5,Ульяновская область
        Курганская область,2000,17758.7,Курганская область
        Свердловская область,2000,34214.7,Свердловская область
        Тюменская область,2000,176917.9,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2000,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2000,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2000,0.0,Тюменская область
        Челябинская область,2000,33012.3,Челябинская область
        Республика Алтай,2000,13505.1,Республика Алтай
        Республика Тыва,2000,11749.3,Республика Тыва
        Республика Хакасия,2000,31333.2,Республика Хакасия
        Алтайский край,2000,17660.5,Алтайский край
        Красноярский край,2000,71281.0,Красноярский край
        Иркутская область,2000,39115.2,Иркутская область
        Кемеровская область - Кузбасс,2000,30047.8,Кемеровская область
        Новосибирская область,2000,26472.3,Новосибирская область
        Омская область,2000,21643.1,Омская область
        Томская область,2000,38386.0,Томская область
        Республика Бурятия,2000,21555.1,Республика Бурятия
        Забайкальский край,2000,25320.1,Забайкальский край
        Республика Саха (Якутия),2000,85375.5,Республика Саха (Якутия)
        Камчатский край,2000,49108.7,Камчатский край
        Приморский край,2000,29139.9,Приморский край
        Хабаровский край,2000,44171.2,Хабаровский край
        Амурская область,2000,28317.2,Амурская область
        Магаданская область,2000,65704.6,Магаданская область
        Сахалинская область,2000,61595.8,Сахалинская область
        Еврейская автономная область,2000,19484.8,Еврейская автономная область
        Чукотский автономный округ,2000,65963.0,Чукотский автономный округ
Российская Федерация,2001,49474.8,
        Белгородская область,2001,33126.7,Белгородская область
        Брянская область,2001,21511.9,Брянская область
        Владимирская область,2001,27170.0,Владимирская область
        Воронежская область,2001,24905.4,Воронежская область
        Ивановская область,2001,18947.2,Ивановская область
        Калужская область,2001,30201.9,Калужская область
        Костромская область,2001,29668.3,Костромская область
        Курская область,2001,28946.1,Курская область
        Липецкая область,2001,41308.6,Липецкая область
        Московская область,2001,35569.3,Московская область
        Орловская область,2001,31676.1,Орловская область
        Рязанская область,2001,29645.8,Рязанская область
        Смоленская область,2001,33575.4,Смоленская область
        Тамбовская область,2001,25830.2,Тамбовская область
        Тверская область,2001,31209.8,Тверская область
        Тульская область,2001,30988.5,Тульская область
        Ярославская область,2001,44116.3,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2001,134435.8,Москва
        Республика Карелия,2001,46499.2,Республика Карелия
