region,year,income_per_capita,real_income,nominal_wage,real_wage,region_standard
Российская Федерация,2017,31897.0,99.8,39167.0,102.9,
Российская Федерация,2018,33266.0,101.4,43724.0,108.5,
Российская Федерация,2019,35338.0,101.7,47867.0,104.8,
Российская Федерация,2020,36073.0,98.6,51344.0,103.8,
Ростовская область,2015,25825.0,97.7,25008.0,91.3,Ростовская область
Ростовская область,2016,26655.0,96.7,26689.0,100.1,Ростовская область
Ростовская область,2017,27741.0,100.6,28500.0,103.4,Ростовская область
Ростовская область,2018,29095.0,102.3,31448.0,108.0,Ростовская область
Ростовская область,2019,30752.0,100.9,33757.0,102.7,Ростовская область
Ростовская область,2020,31427.0,98.6,35622.0,102.1,Ростовская область
Рязанская область,2015,23690.0,94.8,25482.0,90,Рязанская область
Рязанская область,2016,23799.0,94.2,27261.0,100.7,Рязанская область
Рязанская область,2017,24272.0,97.3,28819.0,101.2,Рязанская область
Рязанская область,2018,25441.0,100.3,31916.0,106.5,Рязанская область
Рязанская область,2019,26886.0,99.9,34488.0,102.7,Рязанская область
Рязанская область,2020,27312.0,97.2,36459.0,101.8,Рязанская область
Самарская область,2015,27914.0,91.7,26849.0,89.9,Самарская область
Самарская область,2016,26956.0,90.4,28295.0,98.8,Самарская область
Самарская область,2017,27094.0,97.3,30492.0,104.6,Самарская область
Самарская область,2018,28180.0,100.8,33754.0,107.7,Самарская область
Самарская область,2019,29421.0,99.7,36431.0,103.3,Самарская область
Самарская область,2020,29893.0,97.4,38748.0,102.6,Самарская область
Саратовская область,2015,20111.0,98.7,22528.0,89.4,Саратовская область
Саратовская область,2016,19804.0,93.1,23548.0,99.1,Саратовская область
Саратовская область,2017,20244.0,99.1,24738.0,102.4,Саратовская область
Саратовская область,2018,21423.0,102.6,26823.0,106.0,Саратовская область
Саратовская область,2019,22757.0,100.9,30717.0,109.7,Саратовская область
Саратовская область,2020,24046.0,100.4,33545.0,104.7,Саратовская область
Сахалинская область,2015,47872.0,101.6,61311.0,99.8,Сахалинская область
Сахалинская область,2016,49468.0,97.5,64959.0,100.0,Сахалинская область
Сахалинская область,2017,50502.0,99.0,68496.0,101.9,Сахалинская область
Сахалинская область,2018,53783.0,104.7,77499.0,111.0,Сахалинская область
Сахалинская область,2019,59015.0,105.6,87418.0,108.8,Сахалинская область
Сахалинская область,2020,60770.0,98.6,92518.0,101.7,Сахалинская область
Свердловская область,2015,34113.0,93.5,30691.0,89.9,Свердловская область
Свердловская область,2016,34718.0,94.7,32348.0,98.0,Свердловская область
Свердловская область,2017,35210.0,97.8,34760.0,103.7,Свердловская область
Свердловская область,2018,36735.0,101.7,38052.0,106.9,Свердловская область
Свердловская область,2019,39094.0,101.4,41110.0,103.1,Свердловская область
Свердловская область,2020,37374.0,92.5,43256.0,102.1,Свердловская область
"Северо-Западный
 федеральный округ",2015,31253.0,96.7,37931.0,91.7,
"Северо-Западный
 федеральный округ",2016,32822.0,98.3,41076.0,101.2,
"Северо-Западный
 федеральный округ",2017,34299.0,100.9,44450.0,104.1,
"Северо-Западный
 федеральный округ",2018,36170.0,102.8,49824.0,109.0,
"Северо-Западный
 федеральный округ",2019,37920.0,100.7,54119.0,104.1,
"Северо-Западный
 федеральный округ",2020,39366.0,100.3,57162.0,102.1,
"Северо-Кавказский
 федеральный округ",2015,22544.0,95.8,21720.0,89.1,
"Северо-Кавказский
 федеральный округ",2016,22275.0,93.0,22963.0,98.9,
"Северо-Кавказский
 федеральный округ",2017,23018.0,100.2,24400.0,102.5,
"Северо-Кавказский
 федеральный округ",2018,23258.0,99.2,27064.0,108.3,
"Северо-Кавказский
 федеральный округ",2019,24386.0,101.0,29135.0,103.2,
"Северо-Кавказский
 федеральный округ",2020,24427.0,96.9,31799.0,105.0,
"Сибирский
 федеральный округ",2015,,,29616.0,91.5,
"Сибирский
 федеральный округ",2016,,,31569.0,99.9,
"Сибирский
 федеральный округ",2017,,,33718.0,103.6,
"Сибирский
 федеральный округ",2018,,,37807.0,109.2,
"Сибирский
 федеральный округ",2019,,,41310.0,104.2,
"Сибирский
 федеральный округ",2020,,,44226.0,103.5,
"Сибирский
 федеральный округ3)",2015,,97.1,,,
"Сибирский
 федеральный округ3)",2016,,94.8,,,
"Сибирский
 федеральный округ3)",2017,,99.8,,,
"Сибирский
 федеральный округ3)",2018,,100.8,,,
"Сибирский
 федеральный округ3)",2019,,100.8,,,
"Сибирский
 федеральный округ3)",2020,,98.8,,,
Сибирский федеральный округ,2015,23535.0,,,,
Сибирский федеральный округ,2016,23815.0,,,,
Сибирский федеральный округ,2017,24532.0,,,,
Сибирский федеральный округ,2018,25642.0,,,,
Сибирский федеральный округ,2019,27198.0,,,,
Сибирский федеральный округ,2020,27972.0,,,,
Смоленская область,2015,23653.0,99.1,23470.0,90.8,Смоленская область
Смоленская область,2016,23614.0,93.1,25097.0,100.4,Смоленская область
Смоленская область,2017,24766.0,100.9,26269.0,101.1,Смоленская область
Смоленская область,2018,25888.0,101.0,29397.0,108.7,Смоленская область
Смоленская область,2019,27388.0,100.4,31269.0,101.8,Смоленская область
Смоленская область,2020,28152.0,98.3,33139.0,102.5,Смоленская область
Ставропольский край,2015,21244.0,89.5,23245.0,88.9,Ставропольский край
Ставропольский край,2016,20985.0,92.4,24655.0,99.1,Ставропольский край
Ставропольский край,2017,22485.0,102.9,26645.0,103.8,Ставропольский край
Ставропольский край,2018,23408.0,100.7,29065.0,105.7,Ставропольский край
Ставропольский край,2019,24366.0,99.6,31836.0,104.7,Ставропольский край
Ставропольский край,2020,23911.0,94.5,33877.0,102.5,Ставропольский край
Тамбовская область,2015,24865.0,98.5,21725.0,90.9,Тамбовская область
Тамбовская область,2016,25769.0,95.8,22795.0,97.9,Тамбовская область
Тамбовская область,2017,26058.0,97.0,24253.0,102.9,Тамбовская область
Тамбовская область,2018,26828.0,98.8,26660.0,106.7,Тамбовская область
Тамбовская область,2019,28154.0,98.1,28697.0,101.9,Тамбовская область
Тамбовская область,2020,27889.0,94.3,31063.0,104.1,Тамбовская область
Тверская область,2015,23672.0,96.7,24804.0,89.3,Тверская область
Тверская область,2016,24063.0,94.4,26193.0,98.8,Тверская область
Тверская область,2017,24353.0,97.5,27612.0,102.4,Тверская область
Тверская область,2018,25125.0,99.8,31049.0,109.8,Тверская область
Тверская область,2019,27211.0,103.2,33524.0,103.9,Тверская область
Тверская область,2020,27681.0,97.4,36077.0,103.9,Тверская область
Томская область,2015,26827.0,96.5,34041.0,92.7,Томская область
Томская область,2016,26165.0,91.4,36032.0,98.9,Томская область
Томская область,2017,26697.0,98.4,37518.0,100.4,Томская область
Томская область,2018,27296.0,99.2,41901.0,108.5,Томская область
Томская область,2019,28381.0,98.9,45526.0,103.4,Томская область
Томская область,2020,28857.0,97.7,48730.0,103.2,Томская область
Тульская область,2015,25460.0,99.0,27555.0,91.3,Тульская область
Тульская область,2016,26815.0,97.9,29402.0,99.7,Тульская область
Тульская область,2017,27226.0,97.7,31637.0,104.1,Тульская область
Тульская область,2018,27208.0,95.9,34662.0,106.0,Тульская область
Тульская область,2019,28557.0,99.9,38151.0,105.7,Тульская область
Тульская область,2020,29385.0,98.2,40889.0,103.3,Тульская область
Тюменская область,2015,41893.0,98.5,56616.0,91.4,Тюменская область
Тюменская область,2016,42657.0,95.4,60090.0,98.4,Тюменская область
Тюменская область,2017,44241.0,100.4,63789.0,101.8,Тюменская область
Тюменская область,2018,46124.0,102.9,68664.0,105.3,Тюменская область
Тюменская область,2019,48335.0,102.8,72747.0,103.0,Тюменская область
Тюменская область,2020,50059.0,101.6,78619.0,105.3,Тюменская область
"Тюменская область без
автономных округов",2015,27448.0,96.5,35869.0,91.5,
"Тюменская область без
автономных округов",2016,27044.0,93.2,37536.0,97.3,
"Тюменская область без
автономных округов",2017,27672.0,99.9,40473.0,103.6,
"Тюменская область без
автономных округов",2018,29162.0,104.5,44913.0,108.6,
"Тюменская область без
автономных округов",2019,30662.0,102.7,48613.0,104.3,
"Тюменская область без
автономных округов",2020,31151.0,99.2,51501.0,102.5,
Удмуртская Республика,2015,24255.0,105.1,24694.0,92.1,Удмуртская Республика
Удмуртская Республика,2016,23621.0,93.4,26693.0,103.7,Удмуртская Республика
Удмуртская Республика,2017,23995.0,98.5,28995.0,105.5,Удмуртская Республика
Удмуртская Республика,2018,23827.0,96.9,31808.0,107.4,Удмуртская Республика
Удмуртская Республика,2019,25066.0,101.3,34052.0,103.5,Удмуртская Республика
Удмуртская Республика,2020,25449.0,97.9,36380.0,103.4,Удмуртская Республика
Ульяновская область,2015,22711.0,94.1,22846.0,91.8,Ульяновская область
Ульяновская область,2016,22617.0,93.5,24334.0,100.4,Ульяновская область
Ульяновская область,2017,23284.0,98.7,26254.0,103.9,Ульяновская область
Ульяновская область,2018,22797.0,94.6,28353.0,105.0,Ульяновская область
Ульяновская область,2019,23698.0,98.6,30677.0,103.3,Ульяновская область
Ульяновская область,2020,24590.0,99.2,32504.0,102.2,Ульяновская область
"Уральский
 федеральный округ",2015,32726.0,95.3,39083.0,91.4,
"Уральский
 федеральный округ",2016,32907.0,93.9,41464.0,98.8,
"Уральский
 федеральный округ",2017,33643.0,98.8,43977.0,102.4,
"Уральский
 федеральный округ",2018,34955.0,101.4,47807.0,106.1,
"Уральский
 федеральный округ",2019,36855.0,101.6,51092.0,102.9,
"Уральский
 федеральный округ",2020,37204.0,97.9,54603.0,103.7,
Хабаровский край,2015,35460.0,97.4,38041.0,88.8,Хабаровский край
Хабаровский край,2016,36565.0,95.5,40109.0,97.8,Хабаровский край
Хабаровский край,2017,37098.0,97.8,42465.0,102.3,Хабаровский край
Хабаровский край,2018,39084.0,101.5,47153.0,107.5,Хабаровский край
Хабаровский край,2019,41459.0,100.7,50213.0,101.6,Хабаровский край
Хабаровский край,2020,41740.0,96.2,53113.0,101.9,Хабаровский край
"Ханты-Мансийский 
автономный округ - Югра",2015,46221.0,99.9,60068.0,90.5,
"Ханты-Мансийский 
автономный округ - Югра",2016,46934.0,94.5,63568.0,97.4,
"Ханты-Мансийский 
автономный округ - Югра",2017,48834.0,99.6,66719.0,99.7,
"Ханты-Мансийский 
автономный округ - Югра",2018,50717.0,102.2,70896.0,104.0,
"Ханты-Мансийский 
автономный округ - Югра",2019,53208.0,102.6,75087.0,103.0,
"Ханты-Мансийский 
автономный округ - Югра",2020,54443.0,100.4,79822.0,103.5,
"Центральный
 федеральный округ",2015,38832.0,96.2,41961.0,90.3,
"Центральный
 федеральный округ",2016,40200.0,96.5,45943.0,101.7,
"Центральный
 федеральный округ",2017,41897.0,100.3,48593.0,101.6,
"Центральный
 федеральный округ",2018,44009.0,101.8,54689.0,108.8,
"Центральный
 федеральный округ",2019,47252.0,102.7,60771.0,106.2,
"Центральный
 федеральный округ",2020,48226.0,98.7,65319.0,104.2,
Челябинская область,2015,24654.0,93.7,29642.0,93.8,Челябинская область
Челябинская область,2016,23657.0,89.9,30941.0,97.8,Челябинская область
Челябинская область,2017,23719.0,97.3,32253.0,101.2,Челябинская область
Челябинская область,2018,24386.0,99.7,35219.0,106.4,Челябинская область
Челябинская область,2019,25425.0,100.1,37433.0,102.4,Челябинская область
Челябинская область,2020,26628.0,100.8,39349.0,101.7,Челябинская область
Чеченская Республика,2015,22709.0,99.2,22304.0,88.2,Чеченская Республика
Чеченская Республика,2016,22859.0,95.0,22926.0,95.5,Чеченская Республика
Чеченская Республика,2017,22484.0,96.4,23249.0,97.8,Чеченская Республика
Чеченская Республика,2018,23197.0,102.3,26177.0,110.0,Чеченская Республика
Чеченская Республика,2019,24138.0,101.6,27757.0,102.0,Чеченская Республика
Чеченская Республика,2020,24596.0,100.1,29771.0,104.0,Чеченская Республика
Чувашская Республика,2015,18141.0,96.7,21369.0,89.6,Чувашская Республика
Чувашская Республика,2016,17646.0,92.0,22908.0,101.5,Чувашская Республика
Чувашская Республика,2017,17952.0,99.1,24530.0,104.5,Чувашская Республика
Чувашская Республика,2018,18462.0,100.0,27036.0,107.7,Чувашская Республика
Чувашская Республика,2019,20162.0,104.1,29671.0,105.1,Чувашская Республика
Чувашская Республика,2020,21155.0,101.4,31844.0,104.3,Чувашская Республика
Чукотский автономный округ,2015,63308.0,97.2,79531.0,96.3,Чукотский автономный округ
Чукотский автономный округ,2016,67706.0,97.4,86647.0,99.9,Чукотский автономный округ
Чукотский автономный округ,2017,73019.0,103.6,91995.0,102.8,Чукотский автономный округ
Чукотский автономный округ,2018,78812.0,104.3,98864.0,104.0,Чукотский автономный округ
Чукотский автономный округ,2019,83385.0,101.5,107107.0,102.9,Чукотский автономный округ
Чукотский автономный округ,2020,89541.0,105.2,120641.0,110.5,Чукотский автономный округ
"Южный
 федеральный округ",2015,25317.0,97.2,25130.0,"90,81)",
"Южный
 федеральный округ",2016,26435.0,97.7,26964.0,100.0,
"Южный
 федеральный округ",2017,27348.0,99.9,28712.0,102.6,
"Южный
 федеральный округ",2018,28475.0,101.6,31998.0,108.7,
"Южный
 федеральный округ",2019,29853.0,100.4,34460.0,103.0,
"Южный
 федеральный округ",2020,30678.0,99.6,36620.0,103.0,
"Ямало-Ненецкий 
автономный округ",2015,67624.0,98.4,77272.0,94.1,
"Ямало-Ненецкий 
автономный округ",2016,72358.0,99.8,83238.0,100.8,
"Ямало-Ненецкий 
автономный округ",2017,76027.0,102.5,89938.0,104.9,
"Ямало-Ненецкий 
автономный округ",2018,79398.0,102.0,97204.0,105.0,
"Ямало-Ненецкий 
автономный округ",2019,83088.0,103.5,101012.0,102.2,
"Ямало-Ненецкий 
автономный округ",2020,89928.0,106.8,111216.0,108.0,
Ярославская область,2015,26613.0,99.5,26748.0,89.8,Ярославская область
Ярославская область,2016,26768.0,93.0,28520.0,98.7,Ярославская область
Ярославская область,2017,27200.0,98.0,30720.0,104.0,Ярославская область
Ярославская область,2018,27055.0,96.2,33474.0,106.0,Ярославская область
Ярославская область,2019,28658.0,99.5,36016.0,101.6,Ярославская область
Ярославская область,2020,29514.0,98.2,37820.0,100.9,Ярославская область
г. Москва,2015,60535.0,94.4,64310.0,90.1,Москва
г. Москва,2016,62004.0,95.7,71379.0,103.0,Москва
г. Москва,2017,65471.0,101.5,73812.0,98.7,Москва
г. Москва,2018,69393.0,103.3,83801.0,109.6,Москва
г. Москва,2019,75084.0,104.2,94294.0,107.6,Москва
г. Москва,2020,77283.0,100.2,100070.0,103.1,Москва
г. Санкт-Петербург,2015,37428.0,97.0,44187.0,92.5,Санкт-Петербург
г. Санкт-Петербург,2016,39853.0,100.4,48703.0,103.0,Санкт-Петербург
г. Санкт-Петербург,2017,42338.0,103.1,53740.0,105.7,Санкт-Петербург
г. Санкт-Петербург,2018,44999.0,104.2,60421.0,109.1,Санкт-Петербург
г. Санкт-Петербург,2019,47169.0,101.1,65872.0,104.7,Санкт-Петербург
г. Санкт-Петербург,2020,49207.0,101.1,68667.0,101.0,Санкт-Петербург
г. Севастополь,2015,17774.0,,21848.0,…,Севастополь
г. Севастополь,2016,26239.0,139.3,24259.0,101.1,Севастополь
г. Севастополь,2017,28130.0,104.1,27687.0,108.1,Севастополь
г. Севастополь,2018,28834.0,101.4,31814.0,111.8,Севастополь
г. Севастополь,2019,30261.0,101.2,34621.0,103.5,Севастополь
г. Севастополь,2020,29957.0,102.9,36300.0,101.3,Севастополь
