region,year,income_per_capita,real_income,nominal_wage,real_wage,region_standard
Забайкальский край,2017,22714.0,98.9,34848.0,103.0,Забайкальский край
Забайкальский край,2018,23992.0,102.1,40740.0,113.7,Забайкальский край
Забайкальский край,2019,25750.0,101.9,43896.0,102.9,Забайкальский край
Забайкальский край,2020,27046.0,99.9,47172.0,102.9,Забайкальский край
Ивановская область,2015,22297.0,95.5,21161.0,87.9,Ивановская область
Ивановская область,2016,23676.0,98.5,22144.0,97.6,Ивановская область
Ивановская область,2017,24860.0,100.4,23470.0,102.1,Ивановская область
Ивановская область,2018,24503.0,94.4,25729.0,106.0,Ивановская область
Ивановская область,2019,25794.0,99.5,27553.0,102.1,Ивановская область
Ивановская область,2020,26277.0,97.2,29083.0,101.6,Ивановская область
Иркутская область,2015,21753.0,97.2,32704.0,91.3,Иркутская область
Иркутская область,2016,22510.0,95.1,35510.0,99.8,Иркутская область
Иркутская область,2017,23507.0,100.5,38086.0,103.5,Иркутская область
Иркутская область,2018,24434.0,100.3,42647.0,108.4,Иркутская область
Иркутская область,2019,26306.0,101.7,46387.0,103.0,Иркутская область
Иркутская область,2020,27571.0,100.4,49885.0,103.5,Иркутская область
"Кабардино-Балкарская
Республика",2015,18976.0,99.6,20866.0,88.3,
"Кабардино-Балкарская
Республика",2016,19767.0,97.3,21532.0,96.2,
"Кабардино-Балкарская
Республика",2017,20439.0,99.1,22782.0,101.2,
"Кабардино-Балкарская
Республика",2018,20805.0,99.8,25776.0,110.8,
"Кабардино-Балкарская
Республика",2019,21474.0,98.5,27466.0,101.6,
"Кабардино-Балкарская
Республика",2020,21957.0,98.7,29899.0,105.0,
Калининградская область,2015,25510.0,97.2,28262.0,90.8,Калининградская область
Калининградская область,2016,25663.0,94.6,29451.0,97.1,Калининградская область
Калининградская область,2017,26463.0,100.7,30580.0,100.4,Калининградская область
Калининградская область,2018,27461.0,101.8,33385.0,106.3,Калининградская область
Калининградская область,2019,28952.0,101.4,35637.0,101.7,Калининградская область
Калининградская область,2020,29518.0,99.2,36647.0,99.2,Калининградская область
Калужская область,2015,27434.0,96.4,29939.0,90.3,Калужская область
Калужская область,2016,28800.0,97.7,31667.0,98.3,Калужская область
Калужская область,2017,28715.0,95.2,34332.0,103.4,Калужская область
Калужская область,2018,29129.0,98.0,38197.0,107.8,Калужская область
Калужская область,2019,31394.0,102.8,41442.0,103.9,Калужская область
Калужская область,2020,32442.0,99.2,43994.0,102.4,Калужская область
Камчатский край,2015,42818.0,97.2,57404.0,96.2,Камчатский край
Камчатский край,2016,43849.0,94.6,61159.0,98.7,Камчатский край
Камчатский край,2017,45320.0,99.6,65807.0,103.8,Камчатский край
Камчатский край,2018,48758.0,105.1,73896.0,109.7,Камчатский край
Камчатский край,2019,52674.0,103.9,80448.0,105.1,Камчатский край
Камчатский край,2020,55373.0,102.1,85623.0,103.8,Камчатский край
"Карачаево-Черкесская
Республика",2015,17810.0,93.3,20511.0,89,
"Карачаево-Черкесская
Республика",2016,17638.0,92.0,21546.0,97.7,
"Карачаево-Черкесская
Республика",2017,17932.0,98.0,22638.0,101.5,
"Карачаево-Черкесская
Республика",2018,18051.0,98.5,25430.0,110.0,
"Карачаево-Черкесская
Республика",2019,18821.0,99.7,26955.0,101.4,
"Карачаево-Черкесская
Республика",2020,18949.0,97.3,29865.0,107.0,
Кемеровская область,2015,21879.0,95.9,28263.0,92,Кемеровская область
Кемеровская область,2016,21345.0,91.0,30115.0,99.7,Кемеровская область
Кемеровская область,2017,22141.0,100.8,32648.0,105.8,Кемеровская область
Кемеровская область,2018,23166.0,100.8,38023.0,113.0,Кемеровская область
Кемеровская область,2019,24886.0,101.1,41770.0,104.2,Кемеровская область
Кемеровская область,2020,25433.0,98.1,43429.0,100.6,Кемеровская область
Кировская область,2015,21565.0,95.4,22118.0,92.1,Кировская область
Кировская область,2016,21317.0,92.8,23404.0,99.7,Кировская область
Кировская область,2017,21795.0,98.9,25215.0,104.8,Кировская область
Кировская область,2018,22247.0,98.6,27932.0,107.9,Кировская область
Кировская область,2019,23604.0,101.2,30213.0,104.1,Кировская область
Кировская область,2020,24192.0,97.8,32692.0,104.1,Кировская область
Костромская область,2015,21939.0,98.6,21796.0,90.1,Костромская область
Костромская область,2016,23174.0,98.1,22989.0,98.5,Костромская область
Костромская область,2017,24093.0,99.8,24554.0,103.1,Костромская область
Костромская область,2018,23716.0,94.7,27724.0,109.6,Костромская область
Костромская область,2019,25285.0,100.9,31421.0,108.1,Костромская область
Костромская область,2020,25780.0,97.3,32220.0,98.6,Костромская область
Краснодарский край,2015,31304.0,97.4,26767.0,89.9,Краснодарский край
Краснодарский край,2016,32857.0,99.1,28734.0,100.3,Краснодарский край
Краснодарский край,2017,33403.0,98.5,30343.0,101.5,Краснодарский край
Краснодарский край,2018,34372.0,101.1,33846.0,108.8,Краснодарский край
Краснодарский край,2019,35673.0,99.9,36133.0,102.2,Краснодарский край
Краснодарский край,2020,36838.0,100.4,38499.0,103.2,Краснодарский край
Красноярский край,2015,27053.0,98.6,36071.0,93.6,Красноярский край
Красноярский край,2016,27885.0,97.7,38474.0,100.8,Красноярский край
Красноярский край,2017,28819.0,100.6,41117.0,103.9,Красноярский край
Красноярский край,2018,30015.0,101.4,45635.0,108.2,Красноярский край
Красноярский край,2019,31739.0,100.6,49932.0,104.2,Красноярский край
Красноярский край,2020,32832.0,99.8,54426.0,105.5,Красноярский край
Курганская область,2015,20310.0,94.0,22064.0,89.1,Курганская область
Курганская область,2016,20175.0,91.8,23335.0,98.7,Курганская область
Курганская область,2017,20660.0,97.8,25433.0,105.1,Курганская область
Курганская область,2018,20334.0,94.5,28159.0,107.5,Курганская область
Курганская область,2019,21304.0,99.1,30632.0,104.1,Курганская область
Курганская область,2020,21860.0,97.8,33182.0,104.3,Курганская область
Курская область,2015,25330.0,100.4,23921.0,89.8,Курская область
Курская область,2016,25355.0,93.2,25327.0,98.4,Курская область
Курская область,2017,26112.0,99.1,27274.0,103.8,Курская область
Курская область,2018,27275.0,100.1,29937.0,106.0,Курская область
Курская область,2019,29149.0,100.9,32709.0,103.8,Курская область
Курская область,2020,29786.0,97.8,35805.0,105.3,Курская область
Ленинградская область,2015,25541.0,102.8,33996.0,92.2,Ленинградская область
Ленинградская область,2016,28524.0,104.3,36319.0,99.3,Ленинградская область
Ленинградская область,2017,29668.0,101.0,39333.0,104.2,Ленинградская область
Ленинградская область,2018,31341.0,104.4,43631.0,107.9,Ленинградская область
Ленинградская область,2019,32306.0,100.7,46387.0,102.2,Ленинградская область
Ленинградская область,2020,33149.0,100.8,48286.0,101.1,Ленинградская область
Липецкая область,2015,27087.0,96.1,24524.0,92.1,Липецкая область
Липецкая область,2016,27934.0,96.8,26214.0,100.4,Липецкая область
Липецкая область,2017,28956.0,100.1,28455.0,105.1,Липецкая область
Липецкая область,2018,30010.0,100.1,31622.0,107.8,Липецкая область
Липецкая область,2019,32479.0,102.6,34312.0,103.3,Липецкая область
Липецкая область,2020,32226.0,94.9,36790.0,103.3,Липецкая область
Магаданская область,2015,50750.0,97.3,65996.0,92.8,Магаданская область
Магаданская область,2016,51367.0,93.9,69769.0,98.9,Магаданская область
Магаданская область,2017,54849.0,102.3,75710.0,104.7,Магаданская область
Магаданская область,2018,59774.0,104.4,85631.0,110.0,Магаданская область
Магаданская область,2019,65357.0,103.1,94856.0,105.9,Магаданская область
Магаданская область,2020,70864.0,104.3,102843.0,105.0,Магаданская область
Московская область,2015,38463.0,97.5,40643.0,91.1,Московская область
Московская область,2016,41276.0,99.7,42656.0,96.3,Московская область
Московская область,2017,42345.0,100.0,46836.0,105.7,Московская область
Московская область,2018,44707.0,102.6,51938.0,106.5,Московская область
Московская область,2019,47201.0,102.1,55555.0,102.2,Московская область
Московская область,2020,47046.0,97.8,58066.0,101.8,Московская область
Мурманская область,2015,36747.0,93.8,45989.0,92,Мурманская область
Мурманская область,2016,37359.0,94.2,48986.0,99.2,Мурманская область
Мурманская область,2017,39273.0,100.2,51932.0,101.7,Мурманская область
Мурманская область,2018,41564.0,102.0,58045.0,108.4,Мурманская область
Мурманская область,2019,44237.0,100.8,63715.0,104.8,Мурманская область
Мурманская область,2020,46355.0,100.4,69135.0,105.1,Мурманская область
Ненецкий автономный округ,2015,72146.0,94.9,71230.0,94.4,Ненецкий автономный округ
