region,year,retail_per_capita,region_standard
        Брянская область,2001,10951.0,Брянская область
        Владимирская область,2001,9403.0,Владимирская область
        Воронежская область,2001,15777.0,Воронежская область
        Ивановская область,2001,8235.0,Ивановская область
        Калужская область,2001,12378.0,Калужская область
        Костромская область,2001,11182.0,Костромская область
        Курская область,2001,12720.0,Курская область
        Липецкая область,2001,15833.0,Липецкая область
        Московская область,2001,18499.0,Московская область
        Орловская область,2001,13865.0,Орловская область
        Рязанская область,2001,11801.0,Рязанская область
        Смоленская область,2001,18049.0,Смоленская область
        Тамбовская область,2001,14135.0,Тамбовская область
        Тверская область,2001,11988.0,Тверская область
        Тульская область,2001,11260.0,Тульская область
        Ярославская область,2001,12743.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2001,86968.0,Москва
    Северо-Западный федеральный округ,2001,20089.0,
        Республика Карелия,2001,18009.0,Республика Карелия
        Республика Коми,2001,29471.0,Республика Коми
        Архангельская область,2001,17821.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2001,21404.0,Ненецкий автономный округ
            Архангельская область (без АО),2001,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2001,0.0,Архангельская область
        Вологодская область,2001,14204.0,Вологодская область
        Калининградская область,2001,17508.0,Калининградская область
        Ленинградская область,2001,12871.0,Ленинградская область
        Мурманская область,2001,27344.0,Мурманская область
        Новгородская область,2001,16224.0,Новгородская область
        Псковская область,2001,13922.0,Псковская область
        Город Санкт-Петербург город федерального значения,2001,23892.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2001,15982.0,
        Республика Адыгея (Адыгея),2001,11570.0,Республика Адыгея
        Республика Калмыкия,2001,6843.0,Республика Калмыкия
        Краснодарский край,2001,16150.0,Краснодарский край
        Астраханская область,2001,14265.0,Астраханская область
        Волгоградская область,2001,14420.0,Волгоградская область
        Ростовская область,2001,18205.0,Ростовская область
    Северо-Кавказский федеральный округ,2001,10403.0,
        Республика Дагестан,2001,7023.0,Республика Дагестан
        Республика Ингушетия,2001,5415.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2001,9969.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2001,9226.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2001,11343.0,Республика Северная Осетия - Алания
        Чеченская Республика,2001,0.0,Чеченская Республика
        Ставропольский край,2001,14410.0,Ставропольский край
    Приволжский федеральный округ,2001,15987.0,
        Республика Башкортостан,2001,15970.0,Республика Башкортостан
        Республика Марий Эл,2001,8519.0,Республика Марий Эл
        Республика Мордовия,2001,8961.0,Республика Мордовия
        Республика Татарстан (Татарстан),2001,16177.0,Республика Татарстан
        Удмуртская Республика,2001,11982.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2001,10077.0,Чувашская Республика
        Пермский край,2001,19040.0,Пермский край
"            Коми-Пермяцкий округ, входящий в состав Пермского края",2001,4930.0,
        Кировская область,2001,10998.0,Кировская область
        Нижегородская область,2001,16089.0,Нижегородская область
        Оренбургская область,2001,9942.0,Оренбургская область
        Пензенская область,2001,11585.0,Пензенская область
        Самарская область,2001,32791.0,Самарская область
        Саратовская область,2001,13650.0,Саратовская область
        Ульяновская область,2001,12497.0,Ульяновская область
    Уральский федеральный округ,2001,18615.0,
        Курганская область,2001,10905.0,Курганская область
        Свердловская область,2001,17834.0,Свердловская область
        Тюменская область,2001,26698.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2001,29731.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2001,34725.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2001,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2001,0.0,Тюменская область
        Челябинская область,2001,14578.0,Челябинская область
    Сибирский федеральный округ,2001,16774.0,
        Республика Алтай,2001,8766.0,Республика Алтай
        Республика Тыва,2001,7550.0,Республика Тыва
        Республика Хакасия,2001,12592.0,Республика Хакасия
        Алтайский край,2001,12280.0,Алтайский край
        Красноярский край,2001,21183.0,Красноярский край
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),2001,25091.0,
            Эвенкийский автономный округ (Красноярский край),2001,14964.0,
        Иркутская область,2001,19241.0,Иркутская область
            Усть-Ордынский Бурятский округ,2001,4077.0,
        Кемеровская область - Кузбасс,2001,18709.0,Кемеровская область
        Новосибирская область,2001,19286.0,Новосибирская область
        Омская область,2001,14560.0,Омская область
        Томская область,2001,15425.0,Томская область
    Дальневосточный федеральный округ,2001,18475.0,
        Республика Бурятия,2001,14662.0,Республика Бурятия
        Забайкальский край,2001,12206.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),2001,9027.0,Забайкальский край
        Республика Саха (Якутия),2001,25543.0,Республика Саха (Якутия)
        Камчатский край,2001,23315.0,Камчатский край
"            Корякский округ, входящий в состав Камчатского края",2001,20141.0,
        Приморский край,2001,16089.0,Приморский край
        Хабаровский край,2001,17753.0,Хабаровский край
        Амурская область,2001,14786.0,Амурская область
        Магаданская область,2001,19700.0,Магаданская область
        Сахалинская область,2001,21250.0,Сахалинская область
        Еврейская автономная область,2001,13088.0,Еврейская автономная область
        Чукотский автономный округ,2001,22132.0,Чукотский автономный округ
Российская Федерация,2002,25913.0,
    Центральный федеральный округ,2002,40010.0,
        Белгородская область,2002,16366.0,Белгородская область
        Брянская область,2002,14312.0,Брянская область
        Владимирская область,2002,10984.0,Владимирская область
        Воронежская область,2002,18238.0,Воронежская область
        Ивановская область,2002,10452.0,Ивановская область
        Калужская область,2002,16855.0,Калужская область
        Костромская область,2002,14110.0,Костромская область
        Курская область,2002,15083.0,Курская область
        Липецкая область,2002,18577.0,Липецкая область
        Московская область,2002,23258.0,Московская область
