region,year,retail_per_capita,region_standard
        Карачаево-Черкесская Республика,2005,27656.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2005,24206.0,Республика Северная Осетия - Алания
        Чеченская Республика,2005,10242.0,Чеченская Республика
        Ставропольский край,2005,36945.0,Ставропольский край
    Приволжский федеральный округ,2005,38959.0,
        Республика Башкортостан,2005,43541.0,Республика Башкортостан
        Республика Марий Эл,2005,19491.0,Республика Марий Эл
        Республика Мордовия,2005,21442.0,Республика Мордовия
        Республика Татарстан (Татарстан),2005,42881.0,Республика Татарстан
        Удмуртская Республика,2005,25218.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2005,23196.0,Чувашская Республика
        Пермский край,2005,47616.0,Пермский край
        Кировская область,2005,25373.0,Кировская область
        Нижегородская область,2005,40791.0,Нижегородская область
        Оренбургская область,2005,25811.0,Оренбургская область
        Пензенская область,2005,28237.0,Пензенская область
        Самарская область,2005,70023.0,Самарская область
        Саратовская область,2005,31825.0,Саратовская область
        Ульяновская область,2005,30154.0,Ульяновская область
    Уральский федеральный округ,2005,53973.0,
        Курганская область,2005,30132.0,Курганская область
        Свердловская область,2005,54135.0,Свердловская область
        Тюменская область,2005,74022.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2005,88011.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2005,92616.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2005,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2005,0.0,Тюменская область
        Челябинская область,2005,41639.0,Челябинская область
    Сибирский федеральный округ,2005,41892.0,
        Республика Алтай,2005,19608.0,Республика Алтай
        Республика Тыва,2005,18447.0,Республика Тыва
        Республика Хакасия,2005,22841.0,Республика Хакасия
        Алтайский край,2005,32543.0,Алтайский край
        Красноярский край,2005,43881.0,Красноярский край
        Иркутская область,2005,41587.0,Иркутская область
        Кемеровская область - Кузбасс,2005,49976.0,Кемеровская область
        Новосибирская область,2005,52572.0,Новосибирская область
        Омская область,2005,41169.0,Омская область
        Томская область,2005,45497.0,Томская область
    Дальневосточный федеральный округ,2005,44255.0,
        Республика Бурятия,2005,36472.0,Республика Бурятия
        Забайкальский край,2005,35002.0,Забайкальский край
        Республика Саха (Якутия),2005,54848.0,Республика Саха (Якутия)
        Камчатский край,2005,42387.0,Камчатский край
        Приморский край,2005,41675.0,Приморский край
        Хабаровский край,2005,43620.0,Хабаровский край
        Амурская область,2005,32829.0,Амурская область
        Магаданская область,2005,40935.0,Магаданская область
        Сахалинская область,2005,59836.0,Сахалинская область
        Еврейская автономная область,2005,39171.0,Еврейская автономная область
        Чукотский автономный округ,2005,41405.0,Чукотский автономный округ
Российская Федерация,2006,60901.0,
    Центральный федеральный округ,2006,81774.0,
        Белгородская область,2006,41387.0,Белгородская область
        Брянская область,2006,36931.0,Брянская область
        Владимирская область,2006,29719.0,Владимирская область
        Воронежская область,2006,39692.0,Воронежская область
        Ивановская область,2006,26811.0,Ивановская область
        Калужская область,2006,48173.0,Калужская область
        Костромская область,2006,33681.0,Костромская область
        Курская область,2006,41735.0,Курская область
        Липецкая область,2006,44561.0,Липецкая область
        Московская область,2006,72711.0,Московская область
        Орловская область,2006,36015.0,Орловская область
        Рязанская область,2006,37588.0,Рязанская область
        Смоленская область,2006,45886.0,Смоленская область
        Тамбовская область,2006,42611.0,Тамбовская область
        Тверская область,2006,49903.0,Тверская область
        Тульская область,2006,38033.0,Тульская область
        Ярославская область,2006,40318.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2006,165138.0,Москва
    Северо-Западный федеральный округ,2006,59989.0,
        Республика Карелия,2006,51939.0,Республика Карелия
        Республика Коми,2006,86115.0,Республика Коми
        Архангельская область,2006,50781.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2006,63280.0,Ненецкий автономный округ
            Архангельская область (без АО),2006,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2006,0.0,Архангельская область
        Вологодская область,2006,36461.0,Вологодская область
        Калининградская область,2006,47629.0,Калининградская область
        Ленинградская область,2006,46892.0,Ленинградская область
        Мурманская область,2006,63863.0,Мурманская область
        Новгородская область,2006,41401.0,Новгородская область
        Псковская область,2006,46412.0,Псковская область
        Город Санкт-Петербург город федерального значения,2006,75551.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2006,50064.0,
        Республика Адыгея (Адыгея),2006,29762.0,Республика Адыгея
        Республика Калмыкия,2006,17646.0,Республика Калмыкия
        Краснодарский край,2006,53493.0,Краснодарский край
        Астраханская область,2006,42007.0,Астраханская область
        Волгоградская область,2006,44729.0,Волгоградская область
        Ростовская область,2006,55373.0,Ростовская область
    Северо-Кавказский федеральный округ,2006,34690.0,
        Республика Дагестан,2006,40028.0,Республика Дагестан
        Республика Ингушетия,2006,10366.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2006,32936.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2006,34300.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2006,32625.0,Республика Северная Осетия - Алания
        Чеченская Республика,2006,8947.0,Чеченская Республика
        Ставропольский край,2006,45103.0,Ставропольский край
    Приволжский федеральный округ,2006,49959.0,
        Республика Башкортостан,2006,58900.0,Республика Башкортостан
        Республика Марий Эл,2006,28558.0,Республика Марий Эл
        Республика Мордовия,2006,26084.0,Республика Мордовия
        Республика Татарстан (Татарстан),2006,56865.0,Республика Татарстан
        Удмуртская Республика,2006,32581.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2006,29215.0,Чувашская Республика
        Пермский край,2006,65811.0,Пермский край
        Кировская область,2006,31215.0,Кировская область
        Нижегородская область,2006,52256.0,Нижегородская область
        Оренбургская область,2006,33396.0,Оренбургская область
        Пензенская область,2006,33558.0,Пензенская область
        Самарская область,2006,81528.0,Самарская область
        Саратовская область,2006,38694.0,Саратовская область
        Ульяновская область,2006,40493.0,Ульяновская область
    Уральский федеральный округ,2006,71596.0,
        Курганская область,2006,41805.0,Курганская область
        Свердловская область,2006,69846.0,Свердловская область
        Тюменская область,2006,98384.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2006,117179.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2006,119293.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2006,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2006,0.0,Тюменская область
        Челябинская область,2006,56657.0,Челябинская область
    Сибирский федеральный округ,2006,52893.0,
        Республика Алтай,2006,25607.0,Республика Алтай
        Республика Тыва,2006,22279.0,Республика Тыва
        Республика Хакасия,2006,30391.0,Республика Хакасия
        Алтайский край,2006,42444.0,Алтайский край
        Красноярский край,2006,56886.0,Красноярский край
        Иркутская область,2006,51625.0,Иркутская область
        Кемеровская область - Кузбасс,2006,64013.0,Кемеровская область
        Новосибирская область,2006,66600.0,Новосибирская область
        Омская область,2006,50510.0,Омская область
        Томская область,2006,55341.0,Томская область
    Дальневосточный федеральный округ,2006,54999.0,
        Республика Бурятия,2006,43769.0,Республика Бурятия
        Забайкальский край,2006,42302.0,Забайкальский край
        Республика Саха (Якутия),2006,66622.0,Республика Саха (Якутия)
        Камчатский край,2006,52804.0,Камчатский край
        Приморский край,2006,50851.0,Приморский край
        Хабаровский край,2006,54317.0,Хабаровский край
        Амурская область,2006,40948.0,Амурская область
        Магаданская область,2006,49440.0,Магаданская область
        Сахалинская область,2006,82315.0,Сахалинская область
        Еврейская автономная область,2006,45012.0,Еврейская автономная область
        Чукотский автономный округ,2006,45132.0,Чукотский автономный округ
Российская Федерация,2007,76111.0,
    Центральный федеральный округ,2007,97965.0,
        Белгородская область,2007,55460.0,Белгородская область
        Брянская область,2007,48448.0,Брянская область
        Владимирская область,2007,42497.0,Владимирская область
        Воронежская область,2007,49708.0,Воронежская область
        Ивановская область,2007,34985.0,Ивановская область
        Калужская область,2007,62354.0,Калужская область
        Костромская область,2007,42714.0,Костромская область
        Курская область,2007,54693.0,Курская область
        Липецкая область,2007,57819.0,Липецкая область
        Московская область,2007,96164.0,Московская область
        Орловская область,2007,47717.0,Орловская область
        Рязанская область,2007,50214.0,Рязанская область
        Смоленская область,2007,57527.0,Смоленская область
        Тамбовская область,2007,55816.0,Тамбовская область
        Тверская область,2007,57518.0,Тверская область
        Тульская область,2007,52842.0,Тульская область
        Ярославская область,2007,52702.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2007,183163.0,Москва
    Северо-Западный федеральный округ,2007,74628.0,
        Республика Карелия,2007,62431.0,Республика Карелия
        Республика Коми,2007,104469.0,Республика Коми
        Архангельская область,2007,61423.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2007,79578.0,Ненецкий автономный округ
            Архангельская область (без АО),2007,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2007,0.0,Архангельская область
        Вологодская область,2007,46701.0,Вологодская область
        Калининградская область,2007,61681.0,Калининградская область
        Ленинградская область,2007,59236.0,Ленинградская область
        Мурманская область,2007,79512.0,Мурманская область
        Новгородская область,2007,52532.0,Новгородская область
        Псковская область,2007,55408.0,Псковская область
        Город Санкт-Петербург город федерального значения,2007,94178.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2007,66842.0,
        Республика Адыгея (Адыгея),2007,37355.0,Республика Адыгея
        Республика Калмыкия,2007,20953.0,Республика Калмыкия
        Краснодарский край,2007,73367.0,Краснодарский край
        Астраханская область,2007,55755.0,Астраханская область
        Волгоградская область,2007,56237.0,Волгоградская область
        Ростовская область,2007,74197.0,Ростовская область
    Северо-Кавказский федеральный округ,2007,44711.0,
        Республика Дагестан,2007,53091.0,Республика Дагестан
        Республика Ингушетия,2007,12523.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2007,41439.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2007,38889.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2007,40605.0,Республика Северная Осетия - Алания
        Чеченская Республика,2007,13268.0,Чеченская Республика
        Ставропольский край,2007,57643.0,Ставропольский край
    Приволжский федеральный округ,2007,64534.0,
        Республика Башкортостан,2007,79776.0,Республика Башкортостан
        Республика Марий Эл,2007,37254.0,Республика Марий Эл
        Республика Мордовия,2007,34136.0,Республика Мордовия
        Республика Татарстан (Татарстан),2007,73430.0,Республика Татарстан
        Удмуртская Республика,2007,42910.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2007,38199.0,Чувашская Республика
        Пермский край,2007,82156.0,Пермский край
        Кировская область,2007,41527.0,Кировская область
        Нижегородская область,2007,68860.0,Нижегородская область
        Оренбургская область,2007,43780.0,Оренбургская область
        Пензенская область,2007,52387.0,Пензенская область
        Самарская область,2007,96889.0,Самарская область
        Саратовская область,2007,47489.0,Саратовская область
        Ульяновская область,2007,53905.0,Ульяновская область
    Уральский федеральный округ,2007,93467.0,
        Курганская область,2007,58087.0,Курганская область
        Свердловская область,2007,92777.0,Свердловская область
        Тюменская область,2007,126927.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2007,151013.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2007,149563.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2007,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2007,0.0,Тюменская область
        Челябинская область,2007,72055.0,Челябинская область
    Сибирский федеральный округ,2007,65996.0,
        Республика Алтай,2007,36074.0,Республика Алтай
        Республика Тыва,2007,26224.0,Республика Тыва
        Республика Хакасия,2007,40121.0,Республика Хакасия
        Алтайский край,2007,53937.0,Алтайский край
        Красноярский край,2007,75202.0,Красноярский край
        Иркутская область,2007,61465.0,Иркутская область
        Кемеровская область - Кузбасс,2007,80381.0,Кемеровская область
        Новосибирская область,2007,80739.0,Новосибирская область
        Омская область,2007,64234.0,Омская область
        Томская область,2007,62827.0,Томская область
    Дальневосточный федеральный округ,2007,66102.0,
        Республика Бурятия,2007,56437.0,Республика Бурятия
        Забайкальский край,2007,51193.0,Забайкальский край
        Республика Саха (Якутия),2007,77356.0,Республика Саха (Якутия)
        Камчатский край,2007,65627.0,Камчатский край
        Приморский край,2007,60937.0,Приморский край
        Хабаровский край,2007,67339.0,Хабаровский край
        Амурская область,2007,49413.0,Амурская область
        Магаданская область,2007,59698.0,Магаданская область
        Сахалинская область,2007,98458.0,Сахалинская область
        Еврейская автономная область,2007,51274.0,Еврейская автономная область
        Чукотский автономный округ,2007,52030.0,Чукотский автономный округ
Российская Федерация,2008,97688.0,
    Центральный федеральный округ,2008,121934.0,
        Белгородская область,2008,74599.0,Белгородская область
        Брянская область,2008,64977.0,Брянская область
        Владимирская область,2008,56943.0,Владимирская область
        Воронежская область,2008,71127.0,Воронежская область
        Ивановская область,2008,53683.0,Ивановская область
        Калужская область,2008,79408.0,Калужская область
        Костромская область,2008,56042.0,Костромская область
        Курская область,2008,69533.0,Курская область
        Липецкая область,2008,78841.0,Липецкая область
        Московская область,2008,128115.0,Московская область
        Орловская область,2008,65715.0,Орловская область
        Рязанская область,2008,70697.0,Рязанская область
        Смоленская область,2008,76909.0,Смоленская область
        Тамбовская область,2008,76549.0,Тамбовская область
        Тверская область,2008,75203.0,Тверская область
        Тульская область,2008,74649.0,Тульская область
        Ярославская область,2008,71145.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2008,210569.0,Москва
    Северо-Западный федеральный округ,2008,95648.0,
        Республика Карелия,2008,77331.0,Республика Карелия
        Республика Коми,2008,123378.0,Республика Коми
        Архангельская область,2008,79990.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2008,94223.0,Ненецкий автономный округ
            Архангельская область (без АО),2008,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2008,0.0,Архангельская область
        Вологодская область,2008,58215.0,Вологодская область
        Калининградская область,2008,81520.0,Калининградская область
        Ленинградская область,2008,77165.0,Ленинградская область
        Мурманская область,2008,103988.0,Мурманская область
        Новгородская область,2008,74184.0,Новгородская область
        Псковская область,2008,73283.0,Псковская область
        Город Санкт-Петербург город федерального значения,2008,120473.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2008,88242.0,
        Республика Адыгея (Адыгея),2008,58465.0,Республика Адыгея
        Республика Калмыкия,2008,25323.0,Республика Калмыкия
        Краснодарский край,2008,96611.0,Краснодарский край
        Астраханская область,2008,77056.0,Астраханская область
        Волгоградская область,2008,71012.0,Волгоградская область
        Ростовская область,2008,98585.0,Ростовская область
    Северо-Кавказский федеральный округ,2008,61340.0,
        Республика Дагестан,2008,77414.0,Республика Дагестан
        Республика Ингушетия,2008,16195.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2008,55926.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2008,48215.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2008,54261.0,Республика Северная Осетия - Алания
        Чеченская Республика,2008,24235.0,Чеченская Республика
        Ставропольский край,2008,73655.0,Ставропольский край
    Приволжский федеральный округ,2008,84932.0,
        Республика Башкортостан,2008,105716.0,Республика Башкортостан
        Республика Марий Эл,2008,51458.0,Республика Марий Эл
        Республика Мордовия,2008,46586.0,Республика Мордовия
        Республика Татарстан (Татарстан),2008,97953.0,Республика Татарстан
        Удмуртская Республика,2008,60422.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2008,53725.0,Чувашская Республика
        Пермский край,2008,104328.0,Пермский край
        Кировская область,2008,56944.0,Кировская область
        Нижегородская область,2008,93656.0,Нижегородская область
        Оренбургская область,2008,61444.0,Оренбургская область
        Пензенская область,2008,67115.0,Пензенская область
        Самарская область,2008,120208.0,Самарская область
        Саратовская область,2008,62353.0,Саратовская область
        Ульяновская область,2008,65149.0,Ульяновская область
    Уральский федеральный округ,2008,123785.0,
        Курганская область,2008,78831.0,Курганская область
        Свердловская область,2008,122118.0,Свердловская область
        Тюменская область,2008,165587.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2008,192562.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2008,191602.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2008,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2008,0.0,Тюменская область
        Челябинская область,2008,97783.0,Челябинская область
    Сибирский федеральный округ,2008,83776.0,
        Республика Алтай,2008,51771.0,Республика Алтай
        Республика Тыва,2008,30695.0,Республика Тыва
        Республика Хакасия,2008,51896.0,Республика Хакасия
        Алтайский край,2008,70308.0,Алтайский край
        Красноярский край,2008,97365.0,Красноярский край
        Иркутская область,2008,78332.0,Иркутская область
        Кемеровская область - Кузбасс,2008,98562.0,Кемеровская область
        Новосибирская область,2008,102627.0,Новосибирская область
        Омская область,2008,82565.0,Омская область
        Томская область,2008,73252.0,Томская область
    Дальневосточный федеральный округ,2008,82573.0,
        Республика Бурятия,2008,70665.0,Республика Бурятия
        Забайкальский край,2008,67881.0,Забайкальский край
        Республика Саха (Якутия),2008,91647.0,Республика Саха (Якутия)
        Камчатский край,2008,81454.0,Камчатский край
        Приморский край,2008,76012.0,Приморский край
        Хабаровский край,2008,82024.0,Хабаровский край
        Амурская область,2008,64081.0,Амурская область
        Магаданская область,2008,70108.0,Магаданская область
        Сахалинская область,2008,134570.0,Сахалинская область
        Еврейская автономная область,2008,63606.0,Еврейская автономная область
        Чукотский автономный округ,2008,81808.0,Чукотский автономный округ
Российская Федерация,2009,102245.0,
    Центральный федеральный округ,2009,128968.0,
        Белгородская область,2009,82140.0,Белгородская область
        Брянская область,2009,72683.0,Брянская область
        Владимирская область,2009,60661.0,Владимирская область
        Воронежская область,2009,79140.0,Воронежская область
        Ивановская область,2009,55235.0,Ивановская область
        Калужская область,2009,83886.0,Калужская область
        Костромская область,2009,59735.0,Костромская область
        Курская область,2009,76319.0,Курская область
        Липецкая область,2009,88532.0,Липецкая область
        Московская область,2009,127858.0,Московская область
        Орловская область,2009,67382.0,Орловская область
        Рязанская область,2009,76080.0,Рязанская область
        Смоленская область,2009,85583.0,Смоленская область
        Тамбовская область,2009,81414.0,Тамбовская область
        Тверская область,2009,81268.0,Тверская область
        Тульская область,2009,81080.0,Тульская область
        Ярославская область,2009,72642.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2009,223049.0,Москва
    Северо-Западный федеральный округ,2009,100321.0,
        Республика Карелия,2009,82059.0,Республика Карелия
        Республика Коми,2009,110209.0,Республика Коми
        Архангельская область,2009,87768.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2009,106066.0,Ненецкий автономный округ
            Архангельская область (без АО),2009,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2009,0.0,Архангельская область
        Вологодская область,2009,57479.0,Вологодская область
        Калининградская область,2009,91669.0,Калининградская область
        Ленинградская область,2009,83032.0,Ленинградская область
        Мурманская область,2009,114692.0,Мурманская область
        Новгородская область,2009,84485.0,Новгородская область
        Псковская область,2009,76867.0,Псковская область
        Город Санкт-Петербург город федерального значения,2009,125773.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2009,92031.0,
        Республика Адыгея (Адыгея),2009,71536.0,Республика Адыгея
        Республика Калмыкия,2009,29271.0,Республика Калмыкия
        Краснодарский край,2009,106134.0,Краснодарский край
        Астраханская область,2009,83032.0,Астраханская область
        Волгоградская область,2009,77090.0,Волгоградская область
        Ростовская область,2009,92495.0,Ростовская область
    Северо-Кавказский федеральный округ,2009,73116.0,
        Республика Дагестан,2009,96617.0,Республика Дагестан
        Республика Ингушетия,2009,17640.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2009,63924.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2009,53623.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2009,62795.0,Республика Северная Осетия - Алания
        Чеченская Республика,2009,35980.0,Чеченская Республика
        Ставропольский край,2009,82578.0,Ставропольский край
    Приволжский федеральный округ,2009,88819.0,
        Республика Башкортостан,2009,112932.0,Республика Башкортостан
        Республика Марий Эл,2009,56995.0,Республика Марий Эл
        Республика Мордовия,2009,52385.0,Республика Мордовия
        Республика Татарстан (Татарстан),2009,104235.0,Республика Татарстан
        Удмуртская Республика,2009,64258.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2009,57752.0,Чувашская Республика
        Пермский край,2009,109322.0,Пермский край
        Кировская область,2009,58434.0,Кировская область
        Нижегородская область,2009,93026.0,Нижегородская область
        Оренбургская область,2009,66796.0,Оренбургская область
        Пензенская область,2009,73740.0,Пензенская область
        Самарская область,2009,120602.0,Самарская область
        Саратовская область,2009,64373.0,Саратовская область
        Ульяновская область,2009,67266.0,Ульяновская область
    Уральский федеральный округ,2009,122536.0,
        Курганская область,2009,74098.0,Курганская область
        Свердловская область,2009,128308.0,Свердловская область
        Тюменская область,2009,151747.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2009,171509.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2009,169088.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2009,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2009,0.0,Тюменская область
        Челябинская область,2009,99992.0,Челябинская область
    Сибирский федеральный округ,2009,82867.0,
        Республика Алтай,2009,53142.0,Республика Алтай
        Республика Тыва,2009,33443.0,Республика Тыва
        Республика Хакасия,2009,59634.0,Республика Хакасия
        Алтайский край,2009,65303.0,Алтайский край
        Красноярский край,2009,98555.0,Красноярский край
        Иркутская область,2009,78287.0,Иркутская область
        Кемеровская область - Кузбасс,2009,84420.0,Кемеровская область
        Новосибирская область,2009,104862.0,Новосибирская область
        Омская область,2009,84480.0,Омская область
        Томская область,2009,73034.0,Томская область
    Дальневосточный федеральный округ,2009,93884.0,
        Республика Бурятия,2009,77844.0,Республика Бурятия
        Забайкальский край,2009,75885.0,Забайкальский край
        Республика Саха (Якутия),2009,104612.0,Республика Саха (Якутия)
        Камчатский край,2009,94403.0,Камчатский край
        Приморский край,2009,83655.0,Приморский край
        Хабаровский край,2009,95197.0,Хабаровский край
        Амурская область,2009,71086.0,Амурская область
        Магаданская область,2009,82500.0,Магаданская область
        Сахалинская область,2009,157345.0,Сахалинская область
        Еврейская автономная область,2009,75485.0,Еврейская автономная область
        Чукотский автономный округ,2009,96722.0,Чукотский автономный округ
Российская Федерация,2010,115591.0,
    Центральный федеральный округ,2010,147032.0,
        Белгородская область,2010,93535.0,Белгородская область
        Брянская область,2010,86538.0,Брянская область
        Владимирская область,2010,70284.0,Владимирская область
        Воронежская область,2010,92305.0,Воронежская область
        Ивановская область,2010,66734.0,Ивановская область
